ISO3,Year,value_economic,no_value_economic,value_economic_original,value_governance,no_value_governance,value_governance_original,value_social,no_value_social,value_social_original,value_ecosystems,no_value_ecosystems,value_habitat,no_value_habitat,value_infrastructure,no_value_infrastructure,no_value_governance_isolated,value_governance_isolated,EGSEHI,EGSEHI_6root,Country
AFG,1995,0.503502591801331,False,0.496497408198669,0.861229495718003,False,0.138770504281997,0.704017642218592,False,0.295982357781408,0.516027562725793,False,0.603152847476763,False,0.3837097797131698,True,True,,0.03645921370741458,0.57583918730298,AFGHANISTAN
ALB,1995,0.6066952816389559,False,0.393304718361044,0.6164823023991179,False,0.383517697600882,0.774301426696766,False,0.225698573303234,0.484339336217438,False,0.509650195014279,False,0.47427616109995,False,True,,0.03390427979595038,0.5689084973868309,ALBANIA
DZA,1995,0.583374899754747,False,0.416625100245253,0.707108109861728,False,0.292891890138272,0.805220631188514,False,0.194779368811486,0.411815660566681,False,0.467929700231912,False,0.157379099729611,False,True,,0.010073467214406441,0.46472549236727434,ALGERIA
AND,1995,0.5895922589058225,True,0.4104077410941775,0.4981055591370071,True,0.5018944408629928,0.843236311555096,False,0.156763688444904,0.4777373451548581,True,0.5277395420897197,True,0.3837097797131698,True,True,,0.023957095133210916,0.536915192521413,ANDORRA
AGO,1995,0.710942941133248,False,0.289057058866752,0.798281625933678,False,0.201718374066322,0.9168439144412592,False,0.0831560855587407,0.544356958551703,False,0.648125775344345,False,0.326569552595492,False,True,,0.059952189689974414,0.625605908361252,ANGOLA
ATG,1995,0.5050572839269449,False,0.494942716073055,0.324062151953157,False,0.675937848046843,0.803943197096774,False,0.196056802903226,0.531840707137524,False,0.41263558211388,False,0.559988613398699,False,True,,0.01617043718448559,0.5028675678372618,ANTIGUA AND BARBUDA
ARG,1995,0.609901834148035,False,0.390098165851965,0.466483338049072,False,0.533516661950928,0.776703286766546,False,0.223296713233454,0.421481490725767,False,0.587512755509711,False,0.294018204195144,False,True,,0.016088710854272617,0.5024430860682308,ARGENTINA
ARM,1995,0.541592548878873,False,0.458407451121127,0.5738695339838911,False,0.426130466016109,0.7468059240370031,False,0.253194075962997,0.425867614169175,False,0.467394103085834,False,0.49256072172544,False,True,,0.02275680167704115,0.5323352242873577,ARMENIA
AUS,1995,0.495146121626156,False,0.504853878373844,0.176608650292836,False,0.823391349707164,0.57181466955766,False,0.42818533044234,0.372738431071116,False,0.503625138771702,False,0.208447620556586,False,True,,0.0019566320397704294,0.35365911852031623,AUSTRALIA
AUT,1995,0.54139821236317,False,0.45860178763683,0.165530027249668,False,0.834469972750332,0.480183711931487,False,0.519816288068513,0.29528526642634,False,0.350585334857429,False,0.3837097797131698,True,True,,0.0017093831557913597,0.34578533454367066,AUSTRIA
AZE,1995,0.5605403591597931,False,0.439459640840207,0.729659161887142,False,0.270340838112858,0.7594237112301481,False,0.240576288769852,0.421604284012455,False,0.524990040624668,False,0.3837097797131698,True,True,,0.026379710702744467,0.5456049955752846,AZERBAIJAN
BHS,1995,0.506223303021156,False,0.493776696978844,0.2790593728251009,False,0.720940627174899,0.877569228649182,False,0.122430771350818,0.341178413659045,False,0.570323836253312,False,0.3837097797131698,True,True,,0.00925605806797173,0.4582168038931608,BAHAMAS
BHR,1995,0.509527023788085,False,0.490472976211915,0.4509209951493039,False,0.549079004850696,0.888803347739886,False,0.111196652260114,0.437377652157476,False,0.53391103255509,False,0.53422177519905,False,True,,0.025475365951570312,0.542442120738713,BAHRAIN
BGD,1995,0.5353737803764169,False,0.464626219623583,0.664294871005106,False,0.335705128994894,0.782846073535092,False,0.217153926464908,0.495580007763077,False,0.566969669130369,False,0.580682878972219,False,True,,0.045426261934999906,0.5973348227095828,BANGLADESH
BRB,1995,0.5190495130574699,False,0.48095048694253,0.2471636544447649,False,0.752836345555235,0.821323200419615,False,0.178676799580385,0.52569314735514,False,0.27999901062523,False,0.200062616993943,False,True,,0.0031028604561664165,0.3819094230759237,BARBADOS
BLR,1995,0.626226101466981,False,0.373773898533019,0.6049593131215489,False,0.395040686878451,0.6503157979545879,False,0.349684202045412,0.425640975154392,False,0.442349098981653,False,0.328765672501348,False,True,,0.015250239991490024,0.49798100770782255,BELARUS
BEL,1995,0.5321672278673379,False,0.467832772132662,0.2352790174303169,False,0.764720982569683,0.604073835344197,False,0.395926164655803,0.333077614545935,False,0.462042146489244,False,0.527937519710544,False,True,,0.006145127743830262,0.42797836889002167,BELGIUM
BLZ,1995,0.5344020977979089,False,0.465597902202091,0.460836370097948,False,0.539163629902052,0.8823594270565049,False,0.117640572943495,0.568488458634295,False,0.55312140068217,False,0.3837097797131698,True,True,,0.026218353448225904,0.5450473539955815,BELIZE
BEN,1995,0.684138383146101,False,0.315861616853899,0.486690766822506,False,0.513309233177494,0.7614585799999181,False,0.238541420000082,0.604301314086089,False,0.635448227488376,False,0.550602619828561,False,True,,0.05360623840062702,0.6140483314184034,BENIN
BTN,1995,0.608444310280273,False,0.391555689719727,0.43093798767568,False,0.56906201232432,0.844587194564642,False,0.155412805435358,0.551476737628128,False,0.513352586555925,False,0.3837097797131698,True,True,,0.02405613912212178,0.537284511425312,BHUTAN
BOL,1995,0.613302723172815,False,0.386697276827185,0.559973208382914,False,0.440026791617086,0.885405079195155,False,0.114594920804845,0.465039790274942,False,0.659118479009563,False,0.494833003913456,False,True,,0.04612075528736217,0.5988472623021358,"BOLIVIA, PLURINATIONAL STATE OF"
BIH,1995,0.640995676660313,False,0.359004323339687,0.591438375589148,False,0.408561624410852,0.746732529179716,False,0.253267470820284,0.492128300919408,False,0.469287793829212,False,0.285668689160856,False,True,,0.018677120138050115,0.5150922141676758,BOSNIA AND HERZEGOVINA
BWA,1995,0.625934596693429,False,0.374065403306571,0.343750161468246,False,0.656249838531754,0.901746842832013,False,0.098253157167987,0.387538079974535,False,0.568818099325013,False,0.629663762906707,False,True,,0.026931031530078274,0.5474891263000314,BOTSWANA
BRA,1995,0.582840474336568,False,0.417159525663432,0.5013724974043801,False,0.49862750259562,0.861081347163416,False,0.138918652836584,0.433782916766643,False,0.637941265570135,False,0.249497946148704,False,True,,0.017372987490465997,0.5089155853178923,BRAZIL
BRN,1995,0.54353591403589,False,0.45646408596411,0.308417914439421,False,0.691582085560579,0.824448615374078,False,0.175551384625922,0.399377941914619,False,0.625080625538673,False,0.198082183416904,False,True,,0.0068343459950096054,0.4356283751419267,BRUNEI DARUSSALAM
BGR,1995,0.5869701252952291,False,0.413029874704771,0.5448508610035501,False,0.45514913899645,0.689022837096679,False,0.310977162903321,0.472015718764559,False,0.44891272927144,False,0.280897592335208,False,True,,0.013115765835296106,0.485622658778352,BULGARIA
BFA,1995,0.678988465480005,False,0.321011534519995,0.561036268239112,False,0.438963731760888,0.843242322029348,False,0.156757677970652,0.522902756382308,False,0.606323833094418,False,0.3837097797131698,True,True,,0.03907816554778963,0.5825354527469956,BURKINA FASO
BDI,1995,0.651295511992506,False,0.348704488007494,0.773336255495668,False,0.226663744504332,0.858442688543025,False,0.141557311456975,0.575751166723941,False,0.635063888781714,False,0.3837097797131698,True,True,,0.06066146244945437,0.6268334242644827,BURUNDI
KHM,1995,0.677725278127943,False,0.322274721872057,0.6697366870954651,False,0.330263312904535,0.80386519142328,False,0.19613480857672,0.463517155234424,False,0.571883682462524,False,0.559041314027092,False,True,,0.0540702551618222,0.6149310224504856,CAMBODIA
