Year,Country,Product,iso3code,hhi,Stability value,CRI score,Domestic Production Value
2000,CARIBBEAN BASIN ECONOMIC RECOVERY ACT: USA 2014,,A41,,,,
2000,CARIBBEAN BASIN TRADE PARTNERSHIP ACT: USA 2014,,A42,,,,
2000,SWITZERLAND AND LIECHTENSTEIN,,A43,,,,
2000,COSTA RICA AND PANAMA,,A44,,,,
2000,COMMONWEALTH OF INDEPENDENT STATES (CIS),,A45,,,,
2000,BANGLADESH AND  OF LAOS,,A46,,,,
2000,GLOBAL SYSTEM OF TRADE PREFERENCES (GSTP),,A47,,,,
2000,GLOBAL SYSTEM OF TRADE PREFERENCES (GSTP) LDCS,,A48,,,,
2000,PREFERENTIAL TARIFF FOR 4 SELECTED LDCS,,A49,,,,
2000,ARUBA,,ABW,0.694499816781575,,,
2000,AFGHANISTAN,ASBESTOS,AFG,,-2.44,,
2000,AFGHANISTAN,BARYTES,AFG,,-2.44,,2000.0
2000,AFGHANISTAN,CHROMIUM,AFG,,-2.44,,5345.0
2000,ANGOLA,GOLD,AGO,,-2.04,32.33,
2000,ANGOLA,IRON,AGO,,-2.04,32.33,
2000,ANGOLA,MANGANESE,AGO,,-2.04,32.33,
2000,ANGOLA,PETROLEUM,AGO,,-2.04,32.33,36850000.0
2000,ANGUILA,,AIA,0.18324545216176,,,
2000,ALBANIA,ALUMINIUM,ALB,0.387837825877627,-0.54,118.0,
2000,ALBANIA,CHROMIUM,ALB,0.387837825877627,-0.54,118.0,120400.0
2000,ALBANIA,COBALT,ALB,0.387837825877627,-0.54,118.0,
2000,ALBANIA,COPPER,ALB,0.387837825877627,-0.54,118.0,
2000,ALBANIA,IRON,ALB,0.387837825877627,-0.54,118.0,
2000,ALBANIA,NICKEL,ALB,0.387837825877627,-0.54,118.0,
2000,ANDORRA,,AND,0.304222196434552,1.17,,
2000,NETHERLANDS ANTILLES,,ANT,,,,
2000,UNITED ARAB EMIRATES,CHROMIUM,ARE,0.189128960042749,0.98,118.0,30000.0
2000,UNITED ARAB EMIRATES,NATURAL GAS,ARE,0.189128960042749,0.98,118.0,27316965.000000004
2000,UNITED ARAB EMIRATES,PETROLEUM,ARE,0.189128960042749,0.98,118.0,121523359.29758704
2000,ARGENTINA,ASBESTOS,ARG,0.102412973025501,0.1,60.0,254.0
2000,ARGENTINA,BARYTES,ARG,0.102412973025501,0.1,60.0,5472.0
2000,ARGENTINA,CADMIUM,ARG,0.102412973025501,0.1,60.0,0.0
2000,ARGENTINA,COPPER,ARG,0.102412973025501,0.1,60.0,145197.0
2000,ARGENTINA,GOLD,ARG,0.102412973025501,0.1,60.0,25954.0
2000,ARGENTINA,GRAPHITE,ARG,0.102412973025501,0.1,60.0,
2000,ARGENTINA,IRON,ARG,0.102412973025501,0.1,60.0,
2000,ARGENTINA,LEAD,ARG,0.102412973025501,0.1,60.0,14115.0
2000,ARGENTINA,LITHIUM,ARG,0.102412973025501,0.1,60.0,7343.0
2000,ARGENTINA,MAGNESITE,ARG,0.102412973025501,0.1,60.0,37773.0
2000,ARGENTINA,MANGANESE,ARG,0.102412973025501,0.1,60.0,
2000,ARGENTINA,MERCURY,ARG,0.102412973025501,0.1,60.0,0.0
2000,ARGENTINA,MOLYBDENUM,ARG,0.102412973025501,0.1,60.0,
2000,ARGENTINA,SILVER,ARG,0.102412973025501,0.1,60.0,78271.0
