Year,Country,iso3code,hhi,Country/Territory,Code,Stability value,CRI Rank,Country_y,CRI score,Fatalities in 2019 (Rank),Fatalities per 100 000 inhab- itants (Rank),Losses in million US$ (PPP) (Rank),Losses per unit GDP in% (Rank),VERSION DOC,Domestic Production Value,Product
2000,GSP BENEFICIARIES: BELARUS & KAZAKHSTAN 2014,A30,,,,,,,,,,,,,,
2000,GSP BENEFICIARIES: RUSSIA 2014,A31,,,,,,,,,,,,,,
2000,GSP BENEFICIARIES: NEW ZEALAND 2014,A32,,,,,,,,,,,,,,
2000,GSP BENEFICIARIES: NORWAY 2014,A33,,,,,,,,,,,,,,
2000,GSP BENEFICIARIES: EU 2014,A34,,,,,,,,,,,,,,
2000,COMESA FREE TRADE AREA IN 2014,A35,,,,,,,,,,,,,,
2000,EU 28 MEMBERS 2013,A36,,,,,,,,,,,,,,
2000,"EU 28 + GUF,SMR",A37,,,,,,,,,,,,,,
2000,PACIFIC ISLANDS FORUM,A38,,,,,,,,,,,,,,
2000,THE EUROPEAN FREE TRADE ASSOCIATION (EFTA),A39,,,,,,,,,,,,,,
2000,AGOA BENEFICIARIES: USA 2014,A40,,,,,,,,,,,,,,
2000,CARIBBEAN BASIN ECONOMIC RECOVERY ACT: USA 2014,A41,,,,,,,,,,,,,,
2000,CARIBBEAN BASIN TRADE PARTNERSHIP ACT: USA 2014,A42,,,,,,,,,,,,,,
2000,SWITZERLAND AND LIECHTENSTEIN,A43,,,,,,,,,,,,,,
2000,COSTA RICA AND PANAMA,A44,,,,,,,,,,,,,,
2000,COMMONWEALTH OF INDEPENDENT STATES (CIS),A45,,,,,,,,,,,,,,
2000,BANGLADESH AND  OF LAOS,A46,,,,,,,,,,,,,,
2000,GLOBAL SYSTEM OF TRADE PREFERENCES (GSTP),A47,,,,,,,,,,,,,,
2000,GLOBAL SYSTEM OF TRADE PREFERENCES (GSTP) LDCS,A48,,,,,,,,,,,,,,
2000,PREFERENTIAL TARIFF FOR 4 SELECTED LDCS,A49,,,,,,,,,,,,,,
2000,ARUBA,ABW,0.694499816781575,ARUBA,ABW,,,,,,,,,,,
2000,AFGHANISTAN,AFG,,AFGHANISTAN,AFG,-2.44,,,,,,,,,,ASBESTOS
2000,AFGHANISTAN,AFG,,AFGHANISTAN,AFG,-2.44,,,,,,,,,2000.0,BARYTES
2000,AFGHANISTAN,AFG,,AFGHANISTAN,AFG,-2.44,,,,,,,,,5345.0,CHROMIUM
2000,ANGOLA,AGO,,ANGOLA,AGO,-2.04,23,ANGOLA,32.33,44.0,50.0,22.0,14.0,2019.0,,GOLD
2000,ANGOLA,AGO,,ANGOLA,AGO,-2.04,23,ANGOLA,32.33,44.0,50.0,22.0,14.0,2019.0,,IRON
2000,ANGOLA,AGO,,ANGOLA,AGO,-2.04,23,ANGOLA,32.33,44.0,50.0,22.0,14.0,2019.0,,MANGANESE
2000,ANGOLA,AGO,,ANGOLA,AGO,-2.04,23,ANGOLA,32.33,44.0,50.0,22.0,14.0,2019.0,36850000.0,PETROLEUM
2000,ANGUILA,AIA,0.18324545216176,,,,,,,,,,,,,
2000,ALBANIA,ALB,0.387837825877627,ALBANIA,ALB,-0.54,130,ALBANIA,118.0,106.0,106.0,130.0,130.0,2019.0,,ALUMINIUM
2000,ALBANIA,ALB,0.387837825877627,ALBANIA,ALB,-0.54,130,ALBANIA,118.0,106.0,106.0,130.0,130.0,2019.0,120400.0,CHROMIUM
2000,ALBANIA,ALB,0.387837825877627,ALBANIA,ALB,-0.54,130,ALBANIA,118.0,106.0,106.0,130.0,130.0,2019.0,,COBALT
2000,ALBANIA,ALB,0.387837825877627,ALBANIA,ALB,-0.54,130,ALBANIA,118.0,106.0,106.0,130.0,130.0,2019.0,,COPPER
2000,ALBANIA,ALB,0.387837825877627,ALBANIA,ALB,-0.54,130,ALBANIA,118.0,106.0,106.0,130.0,130.0,2019.0,,IRON
2000,ALBANIA,ALB,0.387837825877627,ALBANIA,ALB,-0.54,130,ALBANIA,118.0,106.0,106.0,130.0,130.0,2019.0,,NICKEL
2000,ANDORRA,AND,0.304222196434552,ANDORRA,ADO,1.17,,,,,,,,,,
2000,NETHERLANDS ANTILLES,ANT,,,,,,,,,,,,,,
2000,UNITED ARAB EMIRATES,ARE,0.189128960042749,UNITED ARAB EMIRATES,ARE,0.98,130,UNITED ARAB EMIRATES,118.0,106.0,106.0,130.0,130.0,2019.0,30000.0,CHROMIUM
2000,UNITED ARAB EMIRATES,ARE,0.189128960042749,UNITED ARAB EMIRATES,ARE,0.98,130,UNITED ARAB EMIRATES,118.0,106.0,106.0,130.0,130.0,2019.0,27316965.000000004,NATURAL GAS
2000,UNITED ARAB EMIRATES,ARE,0.189128960042749,UNITED ARAB EMIRATES,ARE,0.98,130,UNITED ARAB EMIRATES,118.0,106.0,106.0,130.0,130.0,2019.0,121523359.29758704,PETROLEUM
2000,ARGENTINA,ARG,0.102412973025501,ARGENTINA,ARG,0.1,55,ARGENTINA,60.0,60.0,86.0,28.0,50.0,2019.0,254.0,ASBESTOS
2000,ARGENTINA,ARG,0.102412973025501,ARGENTINA,ARG,0.1,55,ARGENTINA,60.0,60.0,86.0,28.0,50.0,2019.0,5472.0,BARYTES
2000,ARGENTINA,ARG,0.102412973025501,ARGENTINA,ARG,0.1,55,ARGENTINA,60.0,60.0,86.0,28.0,50.0,2019.0,0.0,CADMIUM
2000,ARGENTINA,ARG,0.102412973025501,ARGENTINA,ARG,0.1,55,ARGENTINA,60.0,60.0,86.0,28.0,50.0,2019.0,145197.0,COPPER
2000,ARGENTINA,ARG,0.102412973025501,ARGENTINA,ARG,0.1,55,ARGENTINA,60.0,60.0,86.0,28.0,50.0,2019.0,25954.0,GOLD
2000,ARGENTINA,ARG,0.102412973025501,ARGENTINA,ARG,0.1,55,ARGENTINA,60.0,60.0,86.0,28.0,50.0,2019.0,,GRAPHITE
2000,ARGENTINA,ARG,0.102412973025501,ARGENTINA,ARG,0.1,55,ARGENTINA,60.0,60.0,86.0,28.0,50.0,2019.0,,IRON
2000,ARGENTINA,ARG,0.102412973025501,ARGENTINA,ARG,0.1,55,ARGENTINA,60.0,60.0,86.0,28.0,50.0,2019.0,14115.0,LEAD
2000,ARGENTINA,ARG,0.102412973025501,ARGENTINA,ARG,0.1,55,ARGENTINA,60.0,60.0,86.0,28.0,50.0,2019.0,7343.0,LITHIUM
2000,ARGENTINA,ARG,0.102412973025501,ARGENTINA,ARG,0.1,55,ARGENTINA,60.0,60.0,86.0,28.0,50.0,2019.0,37773.0,MAGNESITE
2000,ARGENTINA,ARG,0.102412973025501,ARGENTINA,ARG,0.1,55,ARGENTINA,60.0,60.0,86.0,28.0,50.0,2019.0,,MANGANESE
2000,ARGENTINA,ARG,0.102412973025501,ARGENTINA,ARG,0.1,55,ARGENTINA,60.0,60.0,86.0,28.0,50.0,2019.0,0.0,MERCURY
2000,ARGENTINA,ARG,0.102412973025501,ARGENTINA,ARG,0.1,55,ARGENTINA,60.0,60.0,86.0,28.0,50.0,2019.0,,MOLYBDENUM
2000,ARGENTINA,ARG,0.102412973025501,ARGENTINA,ARG,0.1,55,ARGENTINA,60.0,60.0,86.0,28.0,50.0,2019.0,78271.0,SILVER
2000,ARGENTINA,ARG,0.102412973025501,ARGENTINA,ARG,0.1,55,ARGENTINA,60.0,60.0,86.0,28.0,50.0,2019.0,,TIN
2000,ARGENTINA,ARG,0.102412973025501,ARGENTINA,ARG,0.1,55,ARGENTINA,60.0,60.0,86.0,28.0,50.0,2019.0,,TUNGSTEN
2000,ARGENTINA,ARG,0.102412973025501,ARGENTINA,ARG,0.1,55,ARGENTINA,60.0,60.0,86.0,28.0,50.0,2019.0,,URANIUM
2000,ARGENTINA,ARG,0.102412973025501,ARGENTINA,ARG,0.1,55,ARGENTINA,60.0,60.0,86.0,28.0,50.0,2019.0,34858.0,ZINC
2000,ARGENTINA,ARG,0.102412973025501,ARGENTINA,ARG,0.1,55,ARGENTINA,60.0,60.0,86.0,28.0,50.0,2019.0,26558294.250000007,NATURAL GAS
2000,ARGENTINA,ARG,0.102412973025501,ARGENTINA,ARG,0.1,55,ARGENTINA,60.0,60.0,86.0,28.0,50.0,2019.0,41347472.47087444,PETROLEUM
2000,ARMENIA,ARM,0.134392198284593,ARMENIA,ARM,-0.68,113,ARMENIA,98.17,90.0,62.0,125.0,125.0,2019.0,,BARYTES
2000,ARMENIA,ARM,0.134392198284593,ARMENIA,ARM,-0.68,113,ARMENIA,98.17,90.0,62.0,125.0,125.0,2019.0,,BISMUTH
2000,ARMENIA,ARM,0.134392198284593,ARMENIA,ARM,-0.68,113,ARMENIA,98.17,90.0,62.0,125.0,125.0,2019.0,,CADMIUM
2000,ARMENIA,ARM,0.134392198284593,ARMENIA,ARM,-0.68,113,ARMENIA,98.17,90.0,62.0,125.0,125.0,2019.0,12234.0,COPPER
2000,ARMENIA,ARM,0.134392198284593,ARMENIA,ARM,-0.68,113,ARMENIA,98.17,90.0,62.0,125.0,125.0,2019.0,900.0,GOLD
2000,ARMENIA,ARM,0.134392198284593,ARMENIA,ARM,-0.68,113,ARMENIA,98.17,90.0,62.0,125.0,125.0,2019.0,3082.0,MOLYBDENUM
2000,ARMENIA,ARM,0.134392198284593,ARMENIA,ARM,-0.68,113,ARMENIA,98.17,90.0,62.0,125.0,125.0,2019.0,0.0,SILVER
2000,ARMENIA,ARM,0.134392198284593,ARMENIA,ARM,-0.68,113,ARMENIA,98.17,90.0,62.0,125.0,125.0,2019.0,528.0,ZINC
2000,ANTIGUA AND BARBUDA,ATG,0.342621626251369,ANTIGUA AND BARBUDA,ATG,0.71,130,ANTIGUA AND BARBUDA,118.0,106.0,106.0,130.0,130.0,2019.0,,
2000,AUSTRALIA,AUS,0.0756250342212481,AUSTRALIA,AUS,1.33,19,AUSTRALIA,28.0,37.0,37.0,9.0,24.0,2019.0,53802000.0,ALUMINIUM
2000,AUSTRALIA,AUS,0.0756250342212481,AUSTRALIA,AUS,1.33,19,AUSTRALIA,28.0,37.0,37.0,9.0,24.0,2019.0,2200.0,ANTIMONY
2000,AUSTRALIA,AUS,0.0756250342212481,AUSTRALIA,AUS,1.33,19,AUSTRALIA,28.0,37.0,37.0,9.0,24.0,2019.0,14000.0,BARYTES
2000,AUSTRALIA,AUS,0.0756250342212481,AUSTRALIA,AUS,1.33,19,AUSTRALIA,28.0,37.0,37.0,9.0,24.0,2019.0,,BISMUTH
2000,AUSTRALIA,AUS,0.0756250342212481,AUSTRALIA,AUS,1.33,19,AUSTRALIA,28.0,37.0,37.0,9.0,24.0,2019.0,525.0,CADMIUM
2000,AUSTRALIA,AUS,0.0756250342212481,AUSTRALIA,AUS,1.33,19,AUSTRALIA,28.0,37.0,37.0,9.0,24.0,2019.0,74260.0,CHROMIUM
2000,AUSTRALIA,AUS,0.0756250342212481,AUSTRALIA,AUS,1.33,19,AUSTRALIA,28.0,37.0,37.0,9.0,24.0,2019.0,1704.0,COBALT
2000,AUSTRALIA,AUS,0.0756250342212481,AUSTRALIA,AUS,1.33,19,AUSTRALIA,28.0,37.0,37.0,9.0,24.0,2019.0,832000.0,COPPER
2000,AUSTRALIA,AUS,0.0756250342212481,AUSTRALIA,AUS,1.33,19,AUSTRALIA,28.0,37.0,37.0,9.0,24.0,2019.0,296420.0,GOLD
2000,AUSTRALIA,AUS,0.0756250342212481,AUSTRALIA,AUS,1.33,19,AUSTRALIA,28.0,37.0,37.0,9.0,24.0,2019.0,171508000.0,IRON
2000,AUSTRALIA,AUS,0.0756250342212481,AUSTRALIA,AUS,1.33,19,AUSTRALIA,28.0,37.0,37.0,9.0,24.0,2019.0,651000.0,LEAD
2000,AUSTRALIA,AUS,0.0756250342212481,AUSTRALIA,AUS,1.33,19,AUSTRALIA,28.0,37.0,37.0,9.0,24.0,2019.0,65504.0,LITHIUM
2000,AUSTRALIA,AUS,0.0756250342212481,AUSTRALIA,AUS,1.33,19,AUSTRALIA,28.0,37.0,37.0,9.0,24.0,2019.0,349538.0,MAGNESITE
2000,AUSTRALIA,AUS,0.0756250342212481,AUSTRALIA,AUS,1.33,19,AUSTRALIA,28.0,37.0,37.0,9.0,24.0,2019.0,1613000.0,MANGANESE
2000,AUSTRALIA,AUS,0.0756250342212481,AUSTRALIA,AUS,1.33,19,AUSTRALIA,28.0,37.0,37.0,9.0,24.0,2019.0,0.0,MERCURY
2000,AUSTRALIA,AUS,0.0756250342212481,AUSTRALIA,AUS,1.33,19,AUSTRALIA,28.0,37.0,37.0,9.0,24.0,2019.0,,MOLYBDENUM
2000,AUSTRALIA,AUS,0.0756250342212481,AUSTRALIA,AUS,1.33,19,AUSTRALIA,28.0,37.0,37.0,9.0,24.0,2019.0,165700.0,NICKEL
2000,AUSTRALIA,AUS,0.0756250342212481,AUSTRALIA,AUS,1.33,19,AUSTRALIA,28.0,37.0,37.0,9.0,24.0,2019.0,,RARE EARTH
2000,AUSTRALIA,AUS,0.0756250342212481,AUSTRALIA,AUS,1.33,19,AUSTRALIA,28.0,37.0,37.0,9.0,24.0,2019.0,2059000.0,SILVER
2000,AUSTRALIA,AUS,0.0756250342212481,AUSTRALIA,AUS,1.33,19,AUSTRALIA,28.0,37.0,37.0,9.0,24.0,2019.0,9106.0,TIN
2000,AUSTRALIA,AUS,0.0756250342212481,AUSTRALIA,AUS,1.33,19,AUSTRALIA,28.0,37.0,37.0,9.0,24.0,2019.0,2146000.0,TITANIUM
2000,AUSTRALIA,AUS,0.0756250342212481,AUSTRALIA,AUS,1.33,19,AUSTRALIA,28.0,37.0,37.0,9.0,24.0,2019.0,,TUNGSTEN
2000,AUSTRALIA,AUS,0.0756250342212481,AUSTRALIA,AUS,1.33,19,AUSTRALIA,28.0,37.0,37.0,9.0,24.0,2019.0,7588.0,URANIUM
2000,AUSTRALIA,AUS,0.0756250342212481,AUSTRALIA,AUS,1.33,19,AUSTRALIA,28.0,37.0,37.0,9.0,24.0,2019.0,1419000.0,ZINC
2000,AUSTRALIA,AUS,0.0756250342212481,AUSTRALIA,AUS,1.33,19,AUSTRALIA,28.0,37.0,37.0,9.0,24.0,2019.0,374000.0,ZIRCONIUM
2000,AUSTRALIA,AUS,0.0756250342212481,AUSTRALIA,AUS,1.33,19,AUSTRALIA,28.0,37.0,37.0,9.0,24.0,2019.0,313917500.0,COAL
2000,AUSTRALIA,AUS,0.0756250342212481,AUSTRALIA,AUS,1.33,19,AUSTRALIA,28.0,37.0,37.0,9.0,24.0,2019.0,22770401.20627521,NATURAL GAS
2000,AUSTRALIA,AUS,0.0756250342212481,AUSTRALIA,AUS,1.33,19,AUSTRALIA,28.0,37.0,37.0,9.0,24.0,2019.0,37091706.11655387,PETROLEUM
2000,AUSTRIA,AUT,0.131661462538755,AUSTRIA,AUT,0.82,47,AUSTRIA,56.83,84.0,79.0,25.0,37.0,2019.0,,ANTIMONY
2000,AUSTRIA,AUT,0.131661462538755,AUSTRIA,AUT,0.82,47,AUSTRIA,56.83,84.0,79.0,25.0,37.0,2019.0,,BARYTES
2000,AUSTRIA,AUT,0.131661462538755,AUSTRIA,AUT,0.82,47,AUSTRIA,56.83,84.0,79.0,25.0,37.0,2019.0,,CADMIUM
2000,AUSTRIA,AUT,0.131661462538755,AUSTRIA,AUT,0.82,47,AUSTRIA,56.83,84.0,79.0,25.0,37.0,2019.0,,COPPER
2000,AUSTRIA,AUT,0.131661462538755,AUSTRIA,AUT,0.82,47,AUSTRIA,56.83,84.0,79.0,25.0,37.0,2019.0,669.0,GRAPHITE
2000,AUSTRIA,AUT,0.131661462538755,AUSTRIA,AUT,0.82,47,AUSTRIA,56.83,84.0,79.0,25.0,37.0,2019.0,1859449.0,IRON
2000,AUSTRIA,AUT,0.131661462538755,AUSTRIA,AUT,0.82,47,AUSTRIA,56.83,84.0,79.0,25.0,37.0,2019.0,,LEAD
2000,AUSTRIA,AUT,0.131661462538755,AUSTRIA,AUT,0.82,47,AUSTRIA,56.83,84.0,79.0,25.0,37.0,2019.0,725832.0,MAGNESITE
2000,AUSTRIA,AUT,0.131661462538755,AUSTRIA,AUT,0.82,47,AUSTRIA,56.83,84.0,79.0,25.0,37.0,2019.0,,MANGANESE
2000,AUSTRIA,AUT,0.131661462538755,AUSTRIA,AUT,0.82,47,AUSTRIA,56.83,84.0,79.0,25.0,37.0,2019.0,,SILVER
2000,AUSTRIA,AUT,0.131661462538755,AUSTRIA,AUT,0.82,47,AUSTRIA,56.83,84.0,79.0,25.0,37.0,2019.0,1421.0,TUNGSTEN
2000,AUSTRIA,AUT,0.131661462538755,AUSTRIA,AUT,0.82,47,AUSTRIA,56.83,84.0,79.0,25.0,37.0,2019.0,,ZINC
2000,AZERBAIJAN,AZE,0.137154946474379,AZERBAIJAN,AZE,-0.83,130,AZERBAIJAN,118.0,106.0,106.0,130.0,130.0,2019.0,,COPPER
2000,AZERBAIJAN,AZE,0.137154946474379,AZERBAIJAN,AZE,-0.83,130,AZERBAIJAN,118.0,106.0,106.0,130.0,130.0,2019.0,,GOLD
2000,AZERBAIJAN,AZE,0.137154946474379,AZERBAIJAN,AZE,-0.83,130,AZERBAIJAN,118.0,106.0,106.0,130.0,130.0,2019.0,,IRON
2000,AZERBAIJAN,AZE,0.137154946474379,AZERBAIJAN,AZE,-0.83,130,AZERBAIJAN,118.0,106.0,106.0,130.0,130.0,2019.0,,SILVER
2000,AZERBAIJAN,AZE,0.137154946474379,AZERBAIJAN,AZE,-0.83,130,AZERBAIJAN,118.0,106.0,106.0,130.0,130.0,2019.0,3755620.6637168126,NATURAL GAS
2000,AZERBAIJAN,AZE,0.137154946474379,AZERBAIJAN,AZE,-0.83,130,AZERBAIJAN,118.0,106.0,106.0,130.0,130.0,2019.0,14068999.999999998,PETROLEUM
2000,CARIBBEAN BASIN TRADE PARTNERSHIP ACT : 2007,B01,,,,,,,,,,,,,,
2000,CARIBBEAN BASIN TRADE PARTNERSHIP ACT: 2009,B02,,,,,,,,,,,,,,
2000,"CHINA 2 SELECTED AFRICAN LDCS (NER,SOM)",B03,,,,,,,,,,,,,,
2000,CHINA SELECTED LDCS COUNTRIES,B04,,,,,,,,,,,,,,
2000,BURUNDI,BDI,0.0826368719540421,BURUNDI,BDI,-2.01,57,BURUNDI,61.83,26.0,10.0,121.0,102.0,2019.0,0.0,GOLD
2000,BURUNDI,BDI,0.0826368719540421,BURUNDI,BDI,-2.01,57,BURUNDI,61.83,26.0,10.0,121.0,102.0,2019.0,,TIN
2000,BURUNDI,BDI,0.0826368719540421,BURUNDI,BDI,-2.01,57,BURUNDI,61.83,26.0,10.0,121.0,102.0,2019.0,,TUNGSTEN
2000,BENIN,BEN,0.0775000224419411,BENIN,BEN,0.8,130,BENIN,118.0,106.0,106.0,130.0,130.0,2019.0,,GOLD
2000,BURKINA FASO,BFA,0.0759146607629364,BURKINA FASO,BFA,0.06,130,BURKINA FASO,118.0,106.0,106.0,130.0,130.0,2019.0,625.0,GOLD
2000,BURKINA FASO,BFA,0.0759146607629364,BURKINA FASO,BFA,0.06,130,BURKINA FASO,118.0,106.0,106.0,130.0,130.0,2019.0,,LEAD
2000,BURKINA FASO,BFA,0.0759146607629364,BURKINA FASO,BFA,0.06,130,BURKINA FASO,118.0,106.0,106.0,130.0,130.0,2019.0,,MANGANESE
2000,BURKINA FASO,BFA,0.0759146607629364,BURKINA FASO,BFA,0.06,130,BURKINA FASO,118.0,106.0,106.0,130.0,130.0,2019.0,,SILVER
2000,BURKINA FASO,BFA,0.0759146607629364,BURKINA FASO,BFA,0.06,130,BURKINA FASO,118.0,106.0,106.0,130.0,130.0,2019.0,,ZINC
2000,BANGLADESH,BGD,0.170730054379429,BANGLADESH,BGD,-0.73,13,BANGLADESH,23.5,7.0,29.0,20.0,28.0,2019.0,6612477.719130938,NATURAL GAS
2000,BULGARIA,BGR,0.0606198444986768,BULGARIA,BGR,0.38,119,BULGARIA,101.0,98.0,96.0,98.0,109.0,2019.0,66.0,ASBESTOS
2000,BULGARIA,BGR,0.0606198444986768,BULGARIA,BGR,0.38,119,BULGARIA,101.0,98.0,96.0,98.0,109.0,2019.0,125400.0,BARYTES
2000,BULGARIA,BGR,0.0606198444986768,BULGARIA,BGR,0.38,119,BULGARIA,101.0,98.0,96.0,98.0,109.0,2019.0,40.0,BISMUTH
2000,BULGARIA,BGR,0.0606198444986768,BULGARIA,BGR,0.38,119,BULGARIA,101.0,98.0,96.0,98.0,109.0,2019.0,331.0,CADMIUM
2000,BULGARIA,BGR,0.0606198444986768,BULGARIA,BGR,0.38,119,BULGARIA,101.0,98.0,96.0,98.0,109.0,2019.0,93200.0,COPPER
2000,BULGARIA,BGR,0.0606198444986768,BULGARIA,BGR,0.38,119,BULGARIA,101.0,98.0,96.0,98.0,109.0,2019.0,1720.0,GOLD
2000,BULGARIA,BGR,0.0606198444986768,BULGARIA,BGR,0.38,119,BULGARIA,101.0,98.0,96.0,98.0,109.0,2019.0,588800.0,IRON
2000,BULGARIA,BGR,0.0606198444986768,BULGARIA,BGR,0.38,119,BULGARIA,101.0,98.0,96.0,98.0,109.0,2019.0,13700.0,LEAD
2000,BULGARIA,BGR,0.0606198444986768,BULGARIA,BGR,0.38,119,BULGARIA,101.0,98.0,96.0,98.0,109.0,2019.0,0.0,MANGANESE
2000,BULGARIA,BGR,0.0606198444986768,BULGARIA,BGR,0.38,119,BULGARIA,101.0,98.0,96.0,98.0,109.0,2019.0,,MOLYBDENUM
2000,BULGARIA,BGR,0.0606198444986768,BULGARIA,BGR,0.38,119,BULGARIA,101.0,98.0,96.0,98.0,109.0,2019.0,54534.0,SILVER
2000,BULGARIA,BGR,0.0606198444986768,BULGARIA,BGR,0.38,119,BULGARIA,101.0,98.0,96.0,98.0,109.0,2019.0,10100.0,ZINC
2000,BULGARIA,BGR,0.0606198444986768,BULGARIA,BGR,0.38,119,BULGARIA,101.0,98.0,96.0,98.0,109.0,2019.0,26431978.75029878,COAL
2000,BAHRAIN,BHR,0.0391922321208973,BAHRAIN,BHR,0.06,130,BAHRAIN,118.0,106.0,106.0,130.0,130.0,2019.0,6697682.11,NATURAL GAS
2000,"BAHAMAS, THE",BHS,0.142456743814701,"BAHAMAS, THE",BHS,1.28,,,,,,,,,,
2000,BOSNIA AND HERZEGOVINA,BIH,,BOSNIA AND HERZEGOVINA,BIH,-0.53,,,,,,,,,,
2000,BELARUS,BLR,0.318698558526971,BELARUS,BLR,0.14,130,BELARUS,118.0,106.0,106.0,130.0,130.0,2019.0,,
2000,BELIZE,BLZ,0.153183029249141,BELIZE,BLZ,0.18,130,BELIZE,118.0,106.0,106.0,130.0,130.0,2019.0,,
2000,BERMUDA,BMU,,BERMUDA,BMU,0.71,,,,,,,,,,
2000,BOLIVIA,BOL,0.105066732290743,BOLIVIA,BOL,-0.24,10,BOLIVIA,19.67,43.0,15.0,27.0,9.0,2019.0,,
2000,BRAZIL,BRA,0.0791401708437871,BRAZIL,BRA,0.18,27,BRAZIL,33.67,5.0,32.0,17.0,58.0,2019.0,13974480.0,ALUMINIUM
2000,BRAZIL,BRA,0.0791401708437871,BRAZIL,BRA,0.18,27,BRAZIL,33.67,5.0,32.0,17.0,58.0,2019.0,,ANTIMONY
2000,BRAZIL,BRA,0.0791401708437871,BRAZIL,BRA,0.18,27,BRAZIL,33.67,5.0,32.0,17.0,58.0,2019.0,209332.0,ASBESTOS
2000,BRAZIL,BRA,0.0791401708437871,BRAZIL,BRA,0.18,27,BRAZIL,33.67,5.0,32.0,17.0,58.0,2019.0,54100.0,BARYTES
2000,BRAZIL,BRA,0.0791401708437871,BRAZIL,BRA,0.18,27,BRAZIL,33.67,5.0,32.0,17.0,58.0,2019.0,135.0,CADMIUM
2000,BRAZIL,BRA,0.0791401708437871,BRAZIL,BRA,0.18,27,BRAZIL,33.67,5.0,32.0,17.0,58.0,2019.0,600000.0,CHROMIUM
2000,BRAZIL,BRA,0.0791401708437871,BRAZIL,BRA,0.18,27,BRAZIL,33.67,5.0,32.0,17.0,58.0,2019.0,4100.0,COBALT
2000,BRAZIL,BRA,0.0791401708437871,BRAZIL,BRA,0.18,27,BRAZIL,33.67,5.0,32.0,17.0,58.0,2019.0,31786.0,COPPER
2000,BRAZIL,BRA,0.0791401708437871,BRAZIL,BRA,0.18,27,BRAZIL,33.67,5.0,32.0,17.0,58.0,2019.0,50393.0,GOLD
2000,BRAZIL,BRA,0.0791401708437871,BRAZIL,BRA,0.18,27,BRAZIL,33.67,5.0,32.0,17.0,58.0,2019.0,71208.0,GRAPHITE
2000,BRAZIL,BRA,0.0791401708437871,BRAZIL,BRA,0.18,27,BRAZIL,33.67,5.0,32.0,17.0,58.0,2019.0,210000000.0,IRON
2000,BRAZIL,BRA,0.0791401708437871,BRAZIL,BRA,0.18,27,BRAZIL,33.67,5.0,32.0,17.0,58.0,2019.0,8832.0,LEAD
