,Year,Country,iso3code,hhi
0,2000,Selected Developing Countries for Switzerland,A01,
1,2000,Caribbean Economic Recovery Act: USA 2007,A02,
2,2000,Caribbean Economic Recovery Act: USA 2009,A03,
3,2000,Preferential tariff for selected african countries,A04,
4,2000,Norway tariff for lower income GSP countries,A05,
5,2000,Preferential tariff for COMESA FTA,A07,
6,2000,Preferential tariff for COMESA Non-FTA,A08,
7,2000,(SAARC) Preferential for Sri Lanka and Pakistan,A09,
8,2000,"CAFTA-DR-USA:CRI, DOM, SLV, GTM, HND, USA",A10,
9,2000,Preferential tariff for EU + EFTA,A11,
10,2000,(SAARC) Preferential for Sri Lanka and India,A12,
11,2000,(AANZFTA) Preferential for AUS and NZL,A13,
12,2000,(COMESA) Preferential for Uganda and Eritrea,A14,
13,2000,Egypt (GSTP) Countries ,A15,
14,2000,Egypt (GSTP) Selected LDCs Countries,A16,
15,2000,LDC Beneficiaries in 2014,A17,
16,2000,LDC Beneficiaries in 2014,A18,
17,2000,Switzerland & Liechtenstein LDC beneficiary 2014,A19,
18,2000,GSP for LDC Beneficiaries: Japan 2014,A20,
19,2000,LDC Beneficiaries: Tajikistan 2014,A21,
20,2000,GSP for LDC Beneficiaries: USA 2014,A22,
21,2000,LDC Beneficiaries: China 2014,A23,
22,2000,GSP for LDC Beneficiaries: Norway 2014,A24,
23,2000,GSP for LDC Beneficiaries: Morocco 2014,A25,
24,2000,GSP Beneficiaries: Canada 2014,A26,
25,2000,GSP Beneficiaries: Japan 2014,A27,
26,2000,GSP Beneficiaries:Liechtenstein & Switzerland 2014,A28,
27,2000,GSP Beneficiaries: USA 2014,A29,
28,2000,GSP Beneficiaries: Belarus & Kazakhstan 2014,A30,
29,2000,GSP Beneficiaries: Russia 2014,A31,
30,2000,GSP Beneficiaries: New Zealand 2014,A32,
31,2000,GSP Beneficiaries: Norway 2014,A33,
32,2000,GSP Beneficiaries: EU 2014,A34,
33,2000,COMESA Free Trade Area in 2014,A35,
34,2000,EU 28 members 2013,A36,
