,Year,Country,iso3code,hhi
0,2008,Selected Developing Countries for Switzerland,A01,
1,2008,Caribbean Economic Recovery Act: USA 2007,A02,
2,2008,Caribbean Economic Recovery Act: USA 2009,A03,
3,2008,Preferential tariff for selected african countries,A04,
4,2008,Norway tariff for lower income GSP countries,A05,
5,2008,Preferential tariff for COMESA FTA,A07,
6,2008,Preferential tariff for COMESA Non-FTA,A08,
7,2008,(SAARC) Preferential for Sri Lanka and Pakistan,A09,
8,2008,"CAFTA-DR-USA:CRI, DOM, SLV, GTM, HND, USA",A10,
9,2008,Preferential tariff for EU + EFTA,A11,
10,2008,(SAARC) Preferential for Sri Lanka and India,A12,
11,2008,(AANZFTA) Preferential for AUS and NZL,A13,
12,2008,(COMESA) Preferential for Uganda and Eritrea,A14,
13,2008,Egypt (GSTP) Countries ,A15,
14,2008,Egypt (GSTP) Selected LDCs Countries,A16,
15,2008,LDC Beneficiaries in 2014,A17,
16,2008,LDC Beneficiaries in 2014,A18,
17,2008,Switzerland & Liechtenstein LDC beneficiary 2014,A19,
18,2008,GSP for LDC Beneficiaries: Japan 2014,A20,
19,2008,LDC Beneficiaries: Tajikistan 2014,A21,
20,2008,GSP for LDC Beneficiaries: USA 2014,A22,
21,2008,LDC Beneficiaries: China 2014,A23,
22,2008,GSP for LDC Beneficiaries: Norway 2014,A24,
23,2008,GSP for LDC Beneficiaries: Morocco 2014,A25,
24,2008,GSP Beneficiaries: Canada 2014,A26,
25,2008,GSP Beneficiaries: Japan 2014,A27,
26,2008,GSP Beneficiaries:Liechtenstein & Switzerland 2014,A28,
27,2008,GSP Beneficiaries: USA 2014,A29,
28,2008,GSP Beneficiaries: Belarus & Kazakhstan 2014,A30,
29,2008,GSP Beneficiaries: Russia 2014,A31,
30,2008,GSP Beneficiaries: New Zealand 2014,A32,
31,2008,GSP Beneficiaries: Norway 2014,A33,
32,2008,GSP Beneficiaries: EU 2014,A34,
33,2008,COMESA Free Trade Area in 2014,A35,
34,2008,EU 28 members 2013,A36,
35,2008,"EU 28 + GUF,SMR",A37,
36,2008,Pacific Islands Forum,A38,
37,2008,The European Free Trade Association (EFTA),A39,
38,2008,AGOA beneficiaries: USA 2014,A40,
39,2008,Caribbean Basin Economic Recovery Act: USA 2014,A41,
40,2008,Caribbean Basin Trade Partnership Act: USA 2014,A42,
41,2008,Switzerland and Liechtenstein,A43,
42,2008,Costa Rica and Panama,A44,
43,2008,Commonwealth of Independent States (CIS),A45,
44,2008,Bangladesh and  of Laos,A46,
45,2008,Global System of Trade Preferences (GSTP),A47,
46,2008,Global System of Trade Preferences (GSTP) LDCs,A48,
47,2008,Preferential tariff for 4 selected LDCs,A49,
48,2008,Aruba,ABW,0.350163249495682
49,2008,Afghanistan,AFG,0.156288216424294
50,2008,Angola,AGO,
51,2008,Anguila,AIA,0.190289705944781
52,2008,Albania,ALB,0.260651973578332
53,2008,Andorra,AND,0.253702891507364
54,2008,Netherlands Antilles,ANT,0.0894810572137969
55,2008,United Arab Emirates,ARE,0.114326867018884
56,2008,Argentina,ARG,0.0593039019371372
57,2008,Armenia,ARM,0.109777932246561
58,2008,Antigua and Barbuda,ATG,
59,2008,Australia,AUS,0.10337678103627
60,2008,Austria,AUT,0.10703240572776
61,2008,Azerbaijan,AZE,0.128134670362111
62,2008,Caribbean Basin Trade Partnership Act : 2007,B01,
63,2008,Caribbean Basin Trade Partnership Act: 2009,B02,
64,2008,"China 2 Selected African LDCs (NER,SOM)",B03,
65,2008,China Selected LDCs countries,B04,
66,2008,Burundi,BDI,0.101317846835403
67,2008,Benin,BEN,0.0615877749347142
68,2008,Burkina Faso,BFA,0.112230613487614
69,2008,Bangladesh,BGD,0.0978440698743995
70,2008,Bulgaria,BGR,0.0464615981482792
71,2008,Bahrain,BHR,0.0515803770273335
72,2008,"Bahamas, The",BHS,0.121530190134715
73,2008,Bosnia and Herzegovina,BIH,0.0972138329446394
74,2008,Belarus,BLR,0.185684899985063
75,2008,Belize,BLZ,0.601947629196757
76,2008,Bermuda,BMU,0.534325406658185
77,2008,Bolivia,BOL,0.274616213780546
78,2008,Brazil,BRA,0.055271843952656
79,2008,Barbados,BRB,0.165253679407933
80,2008,Brunei,BRN,0.238832434291166
81,2008,Bhutan,BTN,0.876811315997074
82,2008,Botswana,BWA,0.132088235421253
83,2008,Andean Trade Preference Act 2009,C01,
