,Year,Country,iso3code,hhi
0,2007,Selected Developing Countries for Switzerland,A01,
1,2007,Caribbean Economic Recovery Act: USA 2007,A02,
2,2007,Caribbean Economic Recovery Act: USA 2009,A03,
3,2007,Preferential tariff for selected african countries,A04,
4,2007,Norway tariff for lower income GSP countries,A05,
5,2007,Preferential tariff for COMESA FTA,A07,
6,2007,Preferential tariff for COMESA Non-FTA,A08,
7,2007,(SAARC) Preferential for Sri Lanka and Pakistan,A09,
8,2007,"CAFTA-DR-USA:CRI, DOM, SLV, GTM, HND, USA",A10,
9,2007,Preferential tariff for EU + EFTA,A11,
10,2007,(SAARC) Preferential for Sri Lanka and India,A12,
11,2007,(AANZFTA) Preferential for AUS and NZL,A13,
12,2007,(COMESA) Preferential for Uganda and Eritrea,A14,
13,2007,Egypt (GSTP) Countries ,A15,
14,2007,Egypt (GSTP) Selected LDCs Countries,A16,
15,2007,LDC Beneficiaries in 2014,A17,
16,2007,LDC Beneficiaries in 2014,A18,
17,2007,Switzerland & Liechtenstein LDC beneficiary 2014,A19,
18,2007,GSP for LDC Beneficiaries: Japan 2014,A20,
19,2007,LDC Beneficiaries: Tajikistan 2014,A21,
20,2007,GSP for LDC Beneficiaries: USA 2014,A22,
21,2007,LDC Beneficiaries: China 2014,A23,
22,2007,GSP for LDC Beneficiaries: Norway 2014,A24,
23,2007,GSP for LDC Beneficiaries: Morocco 2014,A25,
24,2007,GSP Beneficiaries: Canada 2014,A26,
25,2007,GSP Beneficiaries: Japan 2014,A27,
26,2007,GSP Beneficiaries:Liechtenstein & Switzerland 2014,A28,
27,2007,GSP Beneficiaries: USA 2014,A29,
28,2007,GSP Beneficiaries: Belarus & Kazakhstan 2014,A30,
29,2007,GSP Beneficiaries: Russia 2014,A31,
30,2007,GSP Beneficiaries: New Zealand 2014,A32,
31,2007,GSP Beneficiaries: Norway 2014,A33,
32,2007,GSP Beneficiaries: EU 2014,A34,
33,2007,COMESA Free Trade Area in 2014,A35,
34,2007,EU 28 members 2013,A36,
35,2007,"EU 28 + GUF,SMR",A37,
36,2007,Pacific Islands Forum,A38,
37,2007,The European Free Trade Association (EFTA),A39,
38,2007,AGOA beneficiaries: USA 2014,A40,
39,2007,Caribbean Basin Economic Recovery Act: USA 2014,A41,
40,2007,Caribbean Basin Trade Partnership Act: USA 2014,A42,
41,2007,Switzerland and Liechtenstein,A43,
42,2007,Costa Rica and Panama,A44,
43,2007,Commonwealth of Independent States (CIS),A45,
44,2007,Bangladesh and  of Laos,A46,
45,2007,Global System of Trade Preferences (GSTP),A47,
46,2007,Global System of Trade Preferences (GSTP) LDCs,A48,
47,2007,Preferential tariff for 4 selected LDCs,A49,
48,2007,Aruba,ABW,0.431493625519285
49,2007,Afghanistan,AFG,
50,2007,Angola,AGO,0.194498270620691
51,2007,Anguila,AIA,0.155559561742565
52,2007,Albania,ALB,0.340747177436705
