,Year,Country,iso3code,hhi
0,2003,Selected Developing Countries for Switzerland,A01,
1,2003,Caribbean Economic Recovery Act: USA 2007,A02,
2,2003,Caribbean Economic Recovery Act: USA 2009,A03,
3,2003,Preferential tariff for selected african countries,A04,
4,2003,Norway tariff for lower income GSP countries,A05,
5,2003,Preferential tariff for COMESA FTA,A07,
6,2003,Preferential tariff for COMESA Non-FTA,A08,
7,2003,(SAARC) Preferential for Sri Lanka and Pakistan,A09,
8,2003,"CAFTA-DR-USA:CRI, DOM, SLV, GTM, HND, USA",A10,
9,2003,Preferential tariff for EU + EFTA,A11,
10,2003,(SAARC) Preferential for Sri Lanka and India,A12,
11,2003,(AANZFTA) Preferential for AUS and NZL,A13,
12,2003,(COMESA) Preferential for Uganda and Eritrea,A14,
13,2003,Egypt (GSTP) Countries ,A15,
14,2003,Egypt (GSTP) Selected LDCs Countries,A16,
15,2003,LDC Beneficiaries in 2014,A17,
16,2003,LDC Beneficiaries in 2014,A18,
17,2003,Switzerland & Liechtenstein LDC beneficiary 2014,A19,
18,2003,GSP for LDC Beneficiaries: Japan 2014,A20,
19,2003,LDC Beneficiaries: Tajikistan 2014,A21,
20,2003,GSP for LDC Beneficiaries: USA 2014,A22,
21,2003,LDC Beneficiaries: China 2014,A23,
22,2003,GSP for LDC Beneficiaries: Norway 2014,A24,
23,2003,GSP for LDC Beneficiaries: Morocco 2014,A25,
24,2003,GSP Beneficiaries: Canada 2014,A26,
25,2003,GSP Beneficiaries: Japan 2014,A27,
26,2003,GSP Beneficiaries:Liechtenstein & Switzerland 2014,A28,
27,2003,GSP Beneficiaries: USA 2014,A29,
28,2003,GSP Beneficiaries: Belarus & Kazakhstan 2014,A30,
29,2003,GSP Beneficiaries: Russia 2014,A31,
30,2003,GSP Beneficiaries: New Zealand 2014,A32,
31,2003,GSP Beneficiaries: Norway 2014,A33,
32,2003,GSP Beneficiaries: EU 2014,A34,
33,2003,COMESA Free Trade Area in 2014,A35,
34,2003,EU 28 members 2013,A36,
35,2003,"EU 28 + GUF,SMR",A37,
36,2003,Pacific Islands Forum,A38,
37,2003,The European Free Trade Association (EFTA),A39,
38,2003,AGOA beneficiaries: USA 2014,A40,
39,2003,Caribbean Basin Economic Recovery Act: USA 2014,A41,
40,2003,Caribbean Basin Trade Partnership Act: USA 2014,A42,
41,2003,Switzerland and Liechtenstein,A43,
42,2003,Costa Rica and Panama,A44,
43,2003,Commonwealth of Independent States (CIS),A45,
44,2003,Bangladesh and  of Laos,A46,
45,2003,Global System of Trade Preferences (GSTP),A47,
46,2003,Global System of Trade Preferences (GSTP) LDCs,A48,
47,2003,Preferential tariff for 4 selected LDCs,A49,
48,2003,Aruba,ABW,0.623011711097736
49,2003,Afghanistan,AFG,
50,2003,Angola,AGO,
51,2003,Anguila,AIA,0.238526047958067
52,2003,Albania,ALB,0.500572053576229
53,2003,Andorra,AND,0.300969313423679
54,2003,Netherlands Antilles,ANT,
55,2003,United Arab Emirates,ARE,0.118809523244644
56,2003,Argentina,ARG,0.0587907075796743
57,2003,Armenia,ARM,0.115605596842075
58,2003,Antigua and Barbuda,ATG,
59,2003,Australia,AUS,0.0738730270916034
60,2003,Austria,AUT,0.112218103350385
61,2003,Azerbaijan,AZE,0.175164473548117
62,2003,Caribbean Basin Trade Partnership Act : 2007,B01,
63,2003,Caribbean Basin Trade Partnership Act: 2009,B02,
64,2003,"China 2 Selected African LDCs (NER,SOM)",B03,
65,2003,China Selected LDCs countries,B04,
66,2003,Burundi,BDI,0.193732118510075
67,2003,Benin,BEN,0.0823744564276993
68,2003,Burkina Faso,BFA,0.0494888529928439
69,2003,Bangladesh,BGD,0.11618791344126
70,2003,Bulgaria,BGR,0.0666255501615905
71,2003,Bahrain,BHR,0.0430837056293013
72,2003,"Bahamas, The",BHS,0.123808245469937
73,2003,Bosnia and Herzegovina,BIH,0.151617767486686
74,2003,Belarus,BLR,0.337997131964872
75,2003,Belize,BLZ,0.20132502488252
76,2003,Bermuda,BMU,
77,2003,Bolivia,BOL,0.173138240537338
78,2003,Brazil,BRA,0.0726848637983386
79,2003,Barbados,BRB,0.203752558491784
80,2003,Brunei,BRN,0.217577960027511
81,2003,Bhutan,BTN,
82,2003,Botswana,BWA,0.65694854036847
83,2003,Andean Trade Preference Act 2009,C01,
84,2003,ASEAN-Australia-New Zealand Free Trade Area,C02,
85,2003,"Hong Kong, Korea Rep., Taiwan",C03,
86,2003,Andean Trade Preference Act 2010,C04,
87,2003,Central African Republic,CAF,0.220025160988599
88,2003,Canada,CAN,0.656174665289373
89,2003,Switzerland,CHE,0.0672100669593385
90,2003,Chile,CHL,0.0705017299263642
91,2003,China,CHN,0.10854024974396
92,2003,Cote d'Ivoire,CIV,0.066847960034346
93,2003,Cameroon,CMR,0.100767559263469
94,2003,"Congo, Rep.",COG,
95,2003,Cook Islands,COK,0.154127530770069
96,2003,Colombia,COL,0.212051700457355
97,2003,Comoros,COM,0.248676407540843
98,2003,Cape Verde,CPV,0.308592066537176
99,2003,Costa Rica,CRI,0.133857012473519
100,2003,Czechoslovakia,CSK,
101,2003,Cuba,CUB,0.0863424546595169
102,2003,Cyprus,CYP,0.0629000379974857
103,2003,Czech Republic,CZE,0.179187569643759
104,2003,Djibouti,DJI,
105,2003,Dominica,DMA,0.101518789367071
106,2003,Dominican Republic,DOM,0.727792074744903
