,Year,Country,iso3code,hhi
0,2001,Selected Developing Countries for Switzerland,A01,
1,2001,Caribbean Economic Recovery Act: USA 2007,A02,
2,2001,Caribbean Economic Recovery Act: USA 2009,A03,
3,2001,Preferential tariff for selected african countries,A04,
4,2001,Norway tariff for lower income GSP countries,A05,
5,2001,Preferential tariff for COMESA FTA,A07,
6,2001,Preferential tariff for COMESA Non-FTA,A08,
7,2001,(SAARC) Preferential for Sri Lanka and Pakistan,A09,
8,2001,"CAFTA-DR-USA:CRI, DOM, SLV, GTM, HND, USA",A10,
9,2001,Preferential tariff for EU + EFTA,A11,
10,2001,(SAARC) Preferential for Sri Lanka and India,A12,
11,2001,(AANZFTA) Preferential for AUS and NZL,A13,
12,2001,(COMESA) Preferential for Uganda and Eritrea,A14,
13,2001,Egypt (GSTP) Countries ,A15,
14,2001,Egypt (GSTP) Selected LDCs Countries,A16,
15,2001,LDC Beneficiaries in 2014,A17,
16,2001,LDC Beneficiaries in 2014,A18,
17,2001,Switzerland & Liechtenstein LDC beneficiary 2014,A19,
18,2001,GSP for LDC Beneficiaries: Japan 2014,A20,
19,2001,LDC Beneficiaries: Tajikistan 2014,A21,
20,2001,GSP for LDC Beneficiaries: USA 2014,A22,
21,2001,LDC Beneficiaries: China 2014,A23,
22,2001,GSP for LDC Beneficiaries: Norway 2014,A24,
23,2001,GSP for LDC Beneficiaries: Morocco 2014,A25,
24,2001,GSP Beneficiaries: Canada 2014,A26,
25,2001,GSP Beneficiaries: Japan 2014,A27,
26,2001,GSP Beneficiaries:Liechtenstein & Switzerland 2014,A28,
27,2001,GSP Beneficiaries: USA 2014,A29,
28,2001,GSP Beneficiaries: Belarus & Kazakhstan 2014,A30,
29,2001,GSP Beneficiaries: Russia 2014,A31,
30,2001,GSP Beneficiaries: New Zealand 2014,A32,
31,2001,GSP Beneficiaries: Norway 2014,A33,
32,2001,GSP Beneficiaries: EU 2014,A34,
33,2001,COMESA Free Trade Area in 2014,A35,
34,2001,EU 28 members 2013,A36,
35,2001,"EU 28 + GUF,SMR",A37,
36,2001,Pacific Islands Forum,A38,
37,2001,The European Free Trade Association (EFTA),A39,
38,2001,AGOA beneficiaries: USA 2014,A40,
39,2001,Caribbean Basin Economic Recovery Act: USA 2014,A41,
40,2001,Caribbean Basin Trade Partnership Act: USA 2014,A42,
41,2001,Switzerland and Liechtenstein,A43,
42,2001,Costa Rica and Panama,A44,
43,2001,Commonwealth of Independent States (CIS),A45,
44,2001,Bangladesh and  of Laos,A46,
45,2001,Global System of Trade Preferences (GSTP),A47,
46,2001,Global System of Trade Preferences (GSTP) LDCs,A48,
47,2001,Preferential tariff for 4 selected LDCs,A49,
48,2001,Aruba,ABW,0.580488463737922
49,2001,Afghanistan,AFG,
50,2001,Angola,AGO,
51,2001,Anguila,AIA,0.130379102936581
52,2001,Albania,ALB,0.413986349742481
53,2001,Andorra,AND,0.195018468595171
54,2001,Netherlands Antilles,ANT,
55,2001,United Arab Emirates,ARE,0.157730337916775
56,2001,Argentina,ARG,0.0831076461062789
57,2001,Armenia,ARM,0.101180959365898
58,2001,Antigua and Barbuda,ATG,
59,2001,Australia,AUS,0.0737816778308337
60,2001,Austria,AUT,0.116565495813906
61,2001,Azerbaijan,AZE,0.206274913902017
