typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20180101,2018,52,2018,688,SRB,Serbia,M,Import,0,W00,World,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,5575.734,True,-1,N/A,0.0,False,5575.734,True,,False,91515.0,90505.0,91515.0,0,False,True
C,A,20180101,2018,52,2018,688,SRB,Serbia,M,Import,40,AUT,Austria,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,26.0,False,8,kg,26.0,False,26.0,False,,False,3186.0,3186.0,3186.0,0,False,True
C,A,20180101,2018,52,2018,688,SRB,Serbia,M,Import,56,BEL,Belgium,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,105.121,True,-1,N/A,0.0,False,105.121,True,,False,1634.0,1634.0,1634.0,0,False,True
C,A,20180101,2018,52,2018,688,SRB,Serbia,M,Import,156,CHN,China,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,1963.935,True,-1,N/A,0.0,False,1963.935,True,,False,26080.0,25445.0,26080.0,0,False,True
C,A,20180101,2018,52,2018,688,SRB,Serbia,M,Import,203,CZE,Czechia,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,6.632,True,-1,N/A,0.0,False,6.632,True,,False,122.0,121.0,122.0,0,False,True
C,A,20180101,2018,52,2018,688,SRB,Serbia,M,Import,251,FRA,France,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,1280.0,False,8,kg,1280.0,False,1280.0,False,,False,33263.0,33263.0,33263.0,0,False,True
C,A,20180101,2018,52,2018,688,SRB,Serbia,M,Import,276,DEU,Germany,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,314.91,True,-1,N/A,0.0,False,314.91,True,,False,8404.0,8398.0,8404.0,0,False,True
C,A,20180101,2018,52,2018,688,SRB,Serbia,M,Import,348,HUN,Hungary,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,1200.0,False,8,kg,1200.0,False,1200.0,False,,False,12.0,12.0,12.0,0,False,True
C,A,20180101,2018,52,2018,688,SRB,Serbia,M,Import,380,ITA,Italy,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,640.0,False,8,kg,640.0,False,640.0,False,,False,17786.0,17451.0,17786.0,0,False,True
C,A,20180101,2018,52,2018,688,SRB,Serbia,M,Import,724,ESP,Spain,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,22.309,True,-1,N/A,0.0,False,22.309,True,,False,164.0,164.0,164.0,0,False,True
C,A,20180101,2018,52,2018,688,SRB,Serbia,M,Import,826,GBR,United Kingdom,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,7.754,True,-1,N/A,0.0,False,7.754,True,,False,57.0,57.0,57.0,0,False,True
C,A,20180101,2018,52,2018,688,SRB,Serbia,M,Import,842,USA,USA,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,9.074,True,-1,N/A,0.0,False,9.074,True,,False,807.0,774.0,807.0,0,False,True
