typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20080101,2008,52,2008,702,SGP,Singapore,M,Import,0,W00,World,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,16774.0,False,-1,N/A,,False,16774.0,False,,False,491451.0,,491451.0,0,True,False
C,A,20080101,2008,52,2008,702,SGP,Singapore,M,Import,36,AUS,Australia,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,142.0,False,-1,N/A,,False,142.0,False,,False,1245.0,,1245.0,0,True,False
C,A,20080101,2008,52,2008,702,SGP,Singapore,M,Import,40,AUT,Austria,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,25.0,False,-1,N/A,,False,25.0,False,,False,540.0,,540.0,0,True,False
C,A,20080101,2008,52,2008,702,SGP,Singapore,M,Import,56,BEL,Belgium,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3760.0,False,-1,N/A,,False,3760.0,False,,False,72839.0,,72839.0,0,True,False
C,A,20080101,2008,52,2008,702,SGP,Singapore,M,Import,156,CHN,China,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,536.0,False,-1,N/A,,False,536.0,False,,False,6628.0,,6628.0,0,True,False
C,A,20080101,2008,52,2008,702,SGP,Singapore,M,Import,251,FRA,France,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,6240.0,False,-1,N/A,,False,6240.0,False,,False,121306.0,,121306.0,0,True,False
C,A,20080101,2008,52,2008,702,SGP,Singapore,M,Import,276,DEU,Germany,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,450.0,False,-1,N/A,,False,450.0,False,,False,117351.0,,117351.0,0,True,False
C,A,20080101,2008,52,2008,702,SGP,Singapore,M,Import,344,HKG,"China, Hong Kong SAR",0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,60.0,False,-1,N/A,,False,60.0,False,,False,941.0,,941.0,0,True,False
C,A,20080101,2008,52,2008,702,SGP,Singapore,M,Import,392,JPN,Japan,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,204.0,False,-1,N/A,,False,204.0,False,,False,9438.0,,9438.0,0,True,False
C,A,20080101,2008,52,2008,702,SGP,Singapore,M,Import,458,MYS,Malaysia,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,592.0,False,-1,N/A,,False,592.0,False,,False,657.0,,657.0,0,True,False
C,A,20080101,2008,52,2008,702,SGP,Singapore,M,Import,490,S19,"Other Asia, nes",0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,64.0,False,-1,N/A,,False,64.0,False,,False,16240.0,,16240.0,0,True,False
