typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20190101,2019,52,2019,616,POL,Poland,M,Import,0,W00,World,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,13088848.452,True,-1,N/A,0.0,False,13088848.452,True,0.0,False,4893264.0,,4893264.0,6,False,True
C,A,20190101,2019,52,2019,616,POL,Poland,M,Import,100,BGR,Bulgaria,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2393000.0,False,8,kg,2393000.0,False,2393000.0,False,0.0,False,325468.0,,325468.0,0,False,True
C,A,20190101,2019,52,2019,616,POL,Poland,M,Import,156,CHN,China,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,40743.457,True,-1,N/A,0.0,False,40743.457,True,0.0,False,38129.0,,38129.0,6,False,True
C,A,20190101,2019,52,2019,616,POL,Poland,M,Import,208,DNK,Denmark,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,69.0,False,8,kg,69.0,False,69.0,False,0.0,False,514.0,,514.0,0,False,True
C,A,20190101,2019,52,2019,616,POL,Poland,M,Import,251,FRA,France,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,24000.0,False,8,kg,24000.0,False,24000.0,False,0.0,False,15254.0,,15254.0,0,False,True
C,A,20190101,2019,52,2019,616,POL,Poland,M,Import,276,DEU,Germany,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1308865.0,False,8,kg,1308865.0,False,1308865.0,False,0.0,False,782249.0,,782249.0,0,False,True
C,A,20190101,2019,52,2019,616,POL,Poland,M,Import,380,ITA,Italy,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,835450.0,False,8,kg,835450.0,False,835450.0,False,0.0,False,361199.0,,361199.0,0,False,True
C,A,20190101,2019,52,2019,616,POL,Poland,M,Import,528,NLD,Netherlands,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2616250.0,False,8,kg,2616250.0,False,2616250.0,False,0.0,False,1199768.0,,1199768.0,0,False,True
C,A,20190101,2019,52,2019,616,POL,Poland,M,Import,620,PRT,Portugal,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,25.0,False,8,kg,25.0,False,25.0,False,0.0,False,13.0,,13.0,0,False,True
C,A,20190101,2019,52,2019,616,POL,Poland,M,Import,699,IND,India,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,106.995,True,-1,N/A,0.0,False,106.995,True,0.0,False,40.0,,40.0,6,False,True
C,A,20190101,2019,52,2019,616,POL,Poland,M,Import,703,SVK,Slovakia,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,744300.0,False,8,kg,744300.0,False,744300.0,False,0.0,False,210500.0,,210500.0,0,False,True
