typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20170101,2017,52,2017,251,FRA,France,M,Import,0,W00,World,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,562720.582,True,-1,N/A,0.0,False,562720.582,True,,False,24092987.858,,24092987.858,0,False,True
C,A,20170101,2017,52,2017,251,FRA,France,M,Import,40,AUT,Austria,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,38257.0,False,8,kg,38257.0,False,38257.0,False,,False,620581.266,,620581.266,0,False,True
C,A,20170101,2017,52,2017,251,FRA,France,M,Import,56,BEL,Belgium,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,2414.0,False,8,kg,2414.0,False,2414.0,False,,False,81864.959,,81864.959,0,False,True
C,A,20170101,2017,52,2017,251,FRA,France,M,Import,124,CAN,Canada,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,5.693,True,-1,N/A,0.0,False,5.693,True,,False,252.837,,252.837,0,False,True
C,A,20170101,2017,52,2017,251,FRA,France,M,Import,156,CHN,China,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,228844.452,True,-1,N/A,0.0,False,228844.452,True,,False,17924131.138,,17924131.138,0,False,True
C,A,20170101,2017,52,2017,251,FRA,France,M,Import,251,FRA,France,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,121.0,False,8,kg,121.0,False,121.0,False,,False,1571.2,,1571.2,0,False,True
C,A,20170101,2017,52,2017,251,FRA,France,M,Import,276,DEU,Germany,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,2210.0,False,8,kg,2210.0,False,2210.0,False,,False,60838.866,,60838.866,0,False,True
C,A,20170101,2017,52,2017,251,FRA,France,M,Import,344,HKG,"China, Hong Kong SAR",0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,18.698,True,-1,N/A,0.0,False,18.698,True,,False,1837.582,,1837.582,0,False,True
C,A,20170101,2017,52,2017,251,FRA,France,M,Import,392,JPN,Japan,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,210306.0,False,8,kg,210306.0,False,210306.0,False,,False,2769754.281,,2769754.281,0,False,True
C,A,20170101,2017,52,2017,251,FRA,France,M,Import,410,KOR,Rep. of Korea,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,76.0,False,8,kg,76.0,False,76.0,False,,False,4942.735,,4942.735,0,False,True
C,A,20170101,2017,52,2017,251,FRA,France,M,Import,579,NOR,Norway,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,2.0,False,8,kg,2.0,False,2.0,False,,False,362.324,,362.324,0,False,True
C,A,20170101,2017,52,2017,251,FRA,France,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,15.608,True,-1,N/A,0.0,False,15.608,True,,False,1075.685,,1075.685,0,False,True
C,A,20170101,2017,52,2017,251,FRA,France,M,Import,694,SLE,Sierra Leone,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,1.0,False,8,kg,1.0,False,1.0,False,,False,7095.234,,7095.234,0,False,True
