typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20190101,2019,52,2019,682,SAU,Saudi Arabia,M,Import,0,W00,World,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,632864361.0,False,8,kg,632864361.0,False,632864361.0,False,0.0,False,66645444.72,,66645444.72,0,False,True
C,A,20190101,2019,52,2019,682,SAU,Saudi Arabia,M,Import,156,CHN,China,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,658250.0,False,8,kg,658250.0,False,658250.0,False,0.0,False,309295.26,,309295.26,0,False,True
C,A,20190101,2019,52,2019,682,SAU,Saudi Arabia,M,Import,276,DEU,Germany,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5250.0,False,8,kg,5250.0,False,5250.0,False,0.0,False,9945.07,,9945.07,0,False,True
C,A,20190101,2019,52,2019,682,SAU,Saudi Arabia,M,Import,410,KOR,Rep. of Korea,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,75360.0,False,8,kg,75360.0,False,75360.0,False,0.0,False,55040.06,,55040.06,0,False,True
C,A,20190101,2019,52,2019,682,SAU,Saudi Arabia,M,Import,418,LAO,Lao People's Dem. Rep.,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,51300000.0,False,8,kg,51300000.0,False,51300000.0,False,0.0,False,5194131.55,,5194131.55,0,False,True
C,A,20190101,2019,52,2019,682,SAU,Saudi Arabia,M,Import,504,MAR,Morocco,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,14990030.0,False,8,kg,14990030.0,False,14990030.0,False,0.0,False,1725151.48,,1725151.48,0,False,True
C,A,20190101,2019,52,2019,682,SAU,Saudi Arabia,M,Import,528,NLD,Netherlands,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,35496.0,False,8,kg,35496.0,False,35496.0,False,0.0,False,19738.42,,19738.42,0,False,True
C,A,20190101,2019,52,2019,682,SAU,Saudi Arabia,M,Import,699,IND,India,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,565600975.0,False,8,kg,565600975.0,False,565600975.0,False,0.0,False,59240578.53,,59240578.53,0,False,True
C,A,20190101,2019,52,2019,682,SAU,Saudi Arabia,M,Import,764,THA,Thailand,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,22500.0,False,8,kg,22500.0,False,22500.0,False,0.0,False,9453.61,,9453.61,0,False,True
C,A,20190101,2019,52,2019,682,SAU,Saudi Arabia,M,Import,792,TUR,Türkiye,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,76500.0,False,8,kg,76500.0,False,76500.0,False,0.0,False,26035.21,,26035.21,0,False,True
C,A,20190101,2019,52,2019,682,SAU,Saudi Arabia,M,Import,826,GBR,United Kingdom,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,100000.0,False,8,kg,100000.0,False,100000.0,False,0.0,False,56075.53,,56075.53,0,False,True
