typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20130101,2013,52,2013,24,AGO,Angola,M,Import,0,W00,World,0,W00,World,H3,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,23991981.0,False,-1,N/A,,False,23991981.0,False,,False,18612121.0,,18612121.0,0,True,False
C,A,20130101,2013,52,2013,24,AGO,Angola,M,Import,56,BEL,Belgium,0,W00,World,H3,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,153.0,False,-1,N/A,,False,153.0,False,,False,3950.0,,3950.0,0,True,False
C,A,20130101,2013,52,2013,24,AGO,Angola,M,Import,156,CHN,China,0,W00,World,H3,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,36487.0,False,-1,N/A,,False,36487.0,False,,False,57564.0,,57564.0,0,True,False
C,A,20130101,2013,52,2013,24,AGO,Angola,M,Import,504,MAR,Morocco,0,W00,World,H3,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,15587416.0,False,-1,N/A,,False,15587416.0,False,,False,10694288.0,,10694288.0,0,True,False
C,A,20130101,2013,52,2013,24,AGO,Angola,M,Import,528,NLD,Netherlands,0,W00,World,H3,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4281672.0,False,-1,N/A,,False,4281672.0,False,,False,1838550.0,,1838550.0,0,True,False
C,A,20130101,2013,52,2013,24,AGO,Angola,M,Import,591,PAN,Panama,0,W00,World,H3,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1785.0,False,-1,N/A,,False,1785.0,False,,False,650695.0,,650695.0,0,True,False
C,A,20130101,2013,52,2013,24,AGO,Angola,M,Import,620,PRT,Portugal,0,W00,World,H3,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1797.0,False,-1,N/A,,False,1797.0,False,,False,14683.0,,14683.0,0,True,False
C,A,20130101,2013,52,2013,24,AGO,Angola,M,Import,699,IND,India,0,W00,World,H3,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,88433.0,False,-1,N/A,,False,88433.0,False,,False,214731.0,,214731.0,0,True,False
C,A,20130101,2013,52,2013,24,AGO,Angola,M,Import,704,VNM,Viet Nam,0,W00,World,H3,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,492.0,False,-1,N/A,,False,492.0,False,,False,1487.0,,1487.0,0,True,False
C,A,20130101,2013,52,2013,24,AGO,Angola,M,Import,784,ARE,United Arab Emirates,0,W00,World,H3,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,73833.0,False,-1,N/A,,False,73833.0,False,,False,93798.0,,93798.0,0,True,False
C,A,20130101,2013,52,2013,24,AGO,Angola,M,Import,792,TUR,Türkiye,0,W00,World,H3,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3572197.0,False,-1,N/A,,False,3572197.0,False,,False,2436008.0,,2436008.0,0,True,False
