typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20170101,2017,52,2017,170,COL,Colombia,M,Import,0,W00,World,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,24507180.98,False,8,kg,24507180.98,False,24507180.98,False,,False,4434547.39,3811110.34,4434547.39,0,False,True
C,A,20170101,2017,52,2017,170,COL,Colombia,M,Import,36,AUS,Australia,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,75.0,False,8,kg,75.0,False,75.0,False,,False,176.63,152.4,176.63,0,False,True
C,A,20170101,2017,52,2017,170,COL,Colombia,M,Import,68,BOL,Bolivia (Plurinational State of),0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,1512000.0,False,8,kg,1512000.0,False,1512000.0,False,,False,267871.6,207659.16,267871.6,0,False,True
C,A,20170101,2017,52,2017,170,COL,Colombia,M,Import,156,CHN,China,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,26584.8,False,8,kg,26584.8,False,26584.8,False,,False,34937.48,30304.58,34937.48,0,False,True
C,A,20170101,2017,52,2017,170,COL,Colombia,M,Import,276,DEU,Germany,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,4542.0,False,8,kg,4542.0,False,4542.0,False,,False,8831.37,6429.44,8831.37,0,False,True
C,A,20170101,2017,52,2017,170,COL,Colombia,M,Import,484,MEX,Mexico,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,18313660.0,False,8,kg,18313660.0,False,18313660.0,False,,False,2960118.15,2554497.94,2960118.15,0,False,True
C,A,20170101,2017,52,2017,170,COL,Colombia,M,Import,504,MAR,Morocco,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,619500.0,False,8,kg,619500.0,False,619500.0,False,,False,167954.08,120876.84,167954.08,0,False,True
C,A,20170101,2017,52,2017,170,COL,Colombia,M,Import,528,NLD,Netherlands,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,32400.0,False,8,kg,32400.0,False,32400.0,False,,False,18456.17,15250.49,18456.17,0,False,True
C,A,20170101,2017,52,2017,170,COL,Colombia,M,Import,604,PER,Peru,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,3962666.8,False,8,kg,3962666.8,False,3962666.8,False,,False,942486.09,846898.31,942486.09,0,False,True
C,A,20170101,2017,52,2017,170,COL,Colombia,M,Import,842,USA,USA,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,35707.38,False,8,kg,35707.38,False,35707.38,False,,False,33699.77,29033.47,33699.77,0,False,True
C,A,20170101,2017,52,2017,170,COL,Colombia,M,Import,862,VEN,Venezuela,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,45.0,False,8,kg,45.0,False,45.0,False,,False,16.05,7.71,16.05,0,False,True
