typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20140101,2014,52,2014,554,NZL,New Zealand,M,Import,0,W00,World,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,684.073,True,-1,N/A,0.0,False,684.073,True,,False,33424.511,,33424.511,0,False,True
C,A,20140101,2014,52,2014,554,NZL,New Zealand,M,Import,36,AUS,Australia,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,3.848,True,-1,N/A,0.0,False,3.848,True,4.0,False,231.429,,231.429,0,False,True
C,A,20140101,2014,52,2014,554,NZL,New Zealand,M,Import,40,AUT,Austria,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,1.462,True,-1,N/A,0.0,False,1.462,True,,False,87.926,,87.926,0,False,True
C,A,20140101,2014,52,2014,554,NZL,New Zealand,M,Import,56,BEL,Belgium,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,7.273,True,-1,N/A,0.0,False,7.273,True,,False,163.411,,163.411,0,False,True
C,A,20140101,2014,52,2014,554,NZL,New Zealand,M,Import,124,CAN,Canada,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,2.303,True,-1,N/A,0.0,False,2.303,True,1.0,False,138.526,,138.526,0,False,True
C,A,20140101,2014,52,2014,554,NZL,New Zealand,M,Import,156,CHN,China,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,143.99,True,-1,N/A,0.0,False,143.99,True,1671.0,False,8385.367,,8385.367,0,False,True
C,A,20140101,2014,52,2014,554,NZL,New Zealand,M,Import,276,DEU,Germany,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,35.255,True,-1,N/A,0.0,False,35.255,True,22.0,False,1566.087,,1566.087,0,False,True
C,A,20140101,2014,52,2014,554,NZL,New Zealand,M,Import,410,KOR,Rep. of Korea,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,261.586,True,-1,N/A,0.0,False,261.586,True,219.0,False,15731.377,,15731.377,0,False,True
C,A,20140101,2014,52,2014,554,NZL,New Zealand,M,Import,699,IND,India,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,3.559,True,-1,N/A,0.0,False,3.559,True,1.0,False,75.484,,75.484,0,False,True
C,A,20140101,2014,52,2014,554,NZL,New Zealand,M,Import,702,SGP,Singapore,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,14.469,True,-1,N/A,0.0,False,14.469,True,8.0,False,306.913,,306.913,0,False,True
C,A,20140101,2014,52,2014,554,NZL,New Zealand,M,Import,757,CHE,Switzerland,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,13.6,True,-1,N/A,0.0,False,13.6,True,3.0,False,559.08,,559.08,0,False,True
C,A,20140101,2014,52,2014,554,NZL,New Zealand,M,Import,826,GBR,United Kingdom,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,34.972,True,-1,N/A,0.0,False,34.972,True,8.0,False,824.518,,824.518,0,False,True
C,A,20140101,2014,52,2014,554,NZL,New Zealand,M,Import,842,USA,USA,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,161.755,True,-1,N/A,0.0,False,161.755,True,315.0,False,5354.392,,5354.392,0,False,True
