typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20160101,2016,52,2016,414,KWT,Kuwait,M,Import,0,W00,World,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,138408843.0,False,8,kg,138408843.0,False,138408843.0,False,,False,17412934.259,,17412934.259,0,False,True
C,A,20160101,2016,52,2016,414,KWT,Kuwait,M,Import,156,CHN,China,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,2057697.0,False,8,kg,2057697.0,False,2057697.0,False,,False,180530.851,,180530.851,0,False,True
C,A,20160101,2016,52,2016,414,KWT,Kuwait,M,Import,276,DEU,Germany,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,7115.0,False,8,kg,7115.0,False,7115.0,False,,False,962.981,,962.981,0,False,True
C,A,20160101,2016,52,2016,414,KWT,Kuwait,M,Import,364,IRN,Iran,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,71700.0,False,8,kg,71700.0,False,71700.0,False,,False,28737.213,,28737.213,0,False,True
C,A,20160101,2016,52,2016,414,KWT,Kuwait,M,Import,504,MAR,Morocco,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,7289000.0,False,8,kg,7289000.0,False,7289000.0,False,,False,1193378.619,,1193378.619,0,False,True
C,A,20160101,2016,52,2016,414,KWT,Kuwait,M,Import,528,NLD,Netherlands,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,442299.0,False,8,kg,442299.0,False,442299.0,False,,False,59863.678,,59863.678,0,False,True
C,A,20160101,2016,52,2016,414,KWT,Kuwait,M,Import,586,PAK,Pakistan,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,19593000.0,False,8,kg,19593000.0,False,19593000.0,False,,False,2914335.271,,2914335.271,0,False,True
C,A,20160101,2016,52,2016,414,KWT,Kuwait,M,Import,699,IND,India,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,74496132.0,False,8,kg,74496132.0,False,74496132.0,False,,False,8954305.735,,8954305.735,0,False,True
C,A,20160101,2016,52,2016,414,KWT,Kuwait,M,Import,704,VNM,Viet Nam,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,8505000.0,False,8,kg,8505000.0,False,8505000.0,False,,False,1023304.883,,1023304.883,0,False,True
C,A,20160101,2016,52,2016,414,KWT,Kuwait,M,Import,764,THA,Thailand,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,15946900.0,False,8,kg,15946900.0,False,15946900.0,False,,False,2163640.114,,2163640.114,0,False,True
C,A,20160101,2016,52,2016,414,KWT,Kuwait,M,Import,818,EGY,Egypt,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,10000000.0,False,8,kg,10000000.0,False,10000000.0,False,,False,893874.912,,893874.912,0,False,True
