typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20060101,2006,52,2006,76,BRA,Brazil,M,Import,0,W00,World,0,W00,World,H2,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7177190.808,True,-1,N/A,0.0,False,7177190.808,True,0.0,False,2709280.0,1601066.0,2709280.0,6,False,True
C,A,20060101,2006,52,2006,76,BRA,Brazil,M,Import,40,AUT,Austria,0,W00,World,H2,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5858.0,False,8,kg,5858.0,False,5858.0,False,0.0,False,2867.0,2245.0,2867.0,0,False,True
C,A,20060101,2006,52,2006,76,BRA,Brazil,M,Import,68,BOL,Bolivia (Plurinational State of),0,W00,World,H2,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,6250000.0,False,8,kg,6250000.0,False,6250000.0,False,0.0,False,896433.0,537473.0,896433.0,0,False,True
C,A,20060101,2006,52,2006,76,BRA,Brazil,M,Import,124,CAN,Canada,0,W00,World,H2,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7000.0,False,8,kg,7000.0,False,7000.0,False,0.0,False,4835.0,1995.0,4835.0,0,False,True
C,A,20060101,2006,52,2006,76,BRA,Brazil,M,Import,156,CHN,China,0,W00,World,H2,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,286000.0,False,8,kg,286000.0,False,286000.0,False,0.0,False,79828.0,65543.0,79828.0,0,False,True
C,A,20060101,2006,52,2006,76,BRA,Brazil,M,Import,251,FRA,France,0,W00,World,H2,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,14002.808,True,-1,N/A,0.0,False,14002.808,True,0.0,False,6722.0,6105.0,6722.0,6,False,True
C,A,20060101,2006,52,2006,76,BRA,Brazil,M,Import,276,DEU,Germany,0,W00,World,H2,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,88504.0,False,8,kg,88504.0,False,88504.0,False,0.0,False,80382.0,66090.0,80382.0,0,False,True
C,A,20060101,2006,52,2006,76,BRA,Brazil,M,Import,344,HKG,"China, Hong Kong SAR",0,W00,World,H2,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,142000.0,False,8,kg,142000.0,False,142000.0,False,0.0,False,38032.0,32390.0,38032.0,0,False,True
C,A,20060101,2006,52,2006,76,BRA,Brazil,M,Import,380,ITA,Italy,0,W00,World,H2,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,84000.0,False,8,kg,84000.0,False,84000.0,False,0.0,False,55509.0,51785.0,55509.0,0,False,True
C,A,20060101,2006,52,2006,76,BRA,Brazil,M,Import,392,JPN,Japan,0,W00,World,H2,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,45.0,False,8,kg,45.0,False,45.0,False,0.0,False,404.0,66.0,404.0,0,False,True
C,A,20060101,2006,52,2006,76,BRA,Brazil,M,Import,504,MAR,Morocco,0,W00,World,H2,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5001.0,False,8,kg,5001.0,False,5001.0,False,0.0,False,710944.0,448892.0,710944.0,0,False,True
C,A,20060101,2006,52,2006,76,BRA,Brazil,M,Import,528,NLD,Netherlands,0,W00,World,H2,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,700.0,False,8,kg,700.0,False,700.0,False,0.0,False,698.0,655.0,698.0,0,False,True
C,A,20060101,2006,52,2006,76,BRA,Brazil,M,Import,704,VNM,Viet Nam,0,W00,World,H2,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4340.0,False,8,kg,4340.0,False,4340.0,False,0.0,False,663698.0,253563.0,663698.0,0,False,True
C,A,20060101,2006,52,2006,76,BRA,Brazil,M,Import,724,ESP,Spain,0,W00,World,H2,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,133350.0,False,8,kg,133350.0,False,133350.0,False,0.0,False,66337.0,59195.0,66337.0,0,False,True
C,A,20060101,2006,52,2006,76,BRA,Brazil,M,Import,842,USA,USA,0,W00,World,H2,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,156390.0,False,8,kg,156390.0,False,156390.0,False,0.0,False,102591.0,75069.0,102591.0,0,False,True
