typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20150101,2015,52,2015,704,VNM,Viet Nam,M,Import,899,_X ,"Areas, nes",0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,60229.0,True,,False,3703000.0,,3703000.0,4,True,False
C,A,20150101,2015,52,2015,704,VNM,Viet Nam,M,Import,842,USA,USA,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,121545.0,True,,False,7472351.0,,7472351.0,4,True,False
C,A,20150101,2015,52,2015,704,VNM,Viet Nam,M,Import,826,GBR,United Kingdom,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,15.0,True,,False,463.0,,463.0,4,True,False
C,A,20150101,2015,52,2015,704,VNM,Viet Nam,M,Import,764,THA,Thailand,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,4444.0,True,,False,273200.0,,273200.0,4,True,False
C,A,20150101,2015,52,2015,704,VNM,Viet Nam,M,Import,757,CHE,Switzerland,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,109.0,True,,False,2793.0,,2793.0,4,True,False
C,A,20150101,2015,52,2015,704,VNM,Viet Nam,M,Import,724,ESP,Spain,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,13.0,True,,False,264.0,,264.0,4,True,False
C,A,20150101,2015,52,2015,704,VNM,Viet Nam,M,Import,702,SGP,Singapore,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,108.0,True,,False,6627.0,,6627.0,4,True,False
C,A,20150101,2015,52,2015,704,VNM,Viet Nam,M,Import,699,IND,India,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,16.0,True,,False,345.0,,345.0,4,True,False
C,A,20150101,2015,52,2015,704,VNM,Viet Nam,M,Import,458,MYS,Malaysia,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,374291.0,True,,False,22975958.0,,22975958.0,4,True,False
C,A,20150101,2015,52,2015,704,VNM,Viet Nam,M,Import,410,KOR,Rep. of Korea,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,120558.0,True,,False,4247117.0,,4247117.0,4,True,False
C,A,20150101,2015,52,2015,704,VNM,Viet Nam,M,Import,398,KAZ,Kazakhstan,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,3904.0,True,,False,240000.0,,240000.0,4,True,False
