typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20130101,2013,52,2013,764,THA,Thailand,M,Import,0,W00,World,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,99434.0,True,-1,N/A,,False,99434.0,True,,False,4150184.0,,4150184.0,6,True,False
C,A,20130101,2013,52,2013,764,THA,Thailand,M,Import,40,AUT,Austria,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2.0,True,-1,N/A,,False,2.0,True,,False,80.0,,80.0,6,True,False
C,A,20130101,2013,52,2013,764,THA,Thailand,M,Import,56,BEL,Belgium,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,23.0,True,-1,N/A,,False,23.0,True,,False,1837.0,,1837.0,6,True,False
C,A,20130101,2013,52,2013,764,THA,Thailand,M,Import,156,CHN,China,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,50755.0,False,-1,N/A,,False,50755.0,False,,False,1963874.0,,1963874.0,0,True,False
C,A,20130101,2013,52,2013,764,THA,Thailand,M,Import,251,FRA,France,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2500.0,False,-1,N/A,,False,2500.0,False,,False,111236.0,,111236.0,0,True,False
C,A,20130101,2013,52,2013,764,THA,Thailand,M,Import,276,DEU,Germany,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,251.0,True,-1,N/A,,False,251.0,True,,False,107937.0,,107937.0,6,True,False
C,A,20130101,2013,52,2013,764,THA,Thailand,M,Import,344,HKG,"China, Hong Kong SAR",0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,300.0,False,-1,N/A,,False,300.0,False,,False,71769.0,,71769.0,0,True,False
C,A,20130101,2013,52,2013,764,THA,Thailand,M,Import,380,ITA,Italy,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,100.0,False,-1,N/A,,False,100.0,False,,False,6846.0,,6846.0,0,True,False
C,A,20130101,2013,52,2013,764,THA,Thailand,M,Import,392,JPN,Japan,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,44660.0,False,-1,N/A,,False,44660.0,False,,False,1838529.0,,1838529.0,0,True,False
C,A,20130101,2013,52,2013,764,THA,Thailand,M,Import,410,KOR,Rep. of Korea,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,64.0,True,-1,N/A,,False,64.0,True,,False,3965.0,,3965.0,6,True,False
C,A,20130101,2013,52,2013,764,THA,Thailand,M,Import,490,S19,"Other Asia, nes",0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,9.0,True,-1,N/A,,False,9.0,True,,False,460.0,,460.0,6,True,False
