typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20090101,2009,52,2009,24,AGO,Angola,M,Import,0,W00,World,0,W00,World,H3,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,23826394.0,False,-1,N/A,,False,23826394.0,False,,False,14283762.0,,14283762.0,0,True,False
C,A,20090101,2009,52,2009,24,AGO,Angola,M,Import,4,AFG,Afghanistan,0,W00,World,H3,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,124.0,False,-1,N/A,,False,124.0,False,,False,87570.0,,87570.0,0,True,False
C,A,20090101,2009,52,2009,24,AGO,Angola,M,Import,56,BEL,Belgium,0,W00,World,H3,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,952376.0,False,-1,N/A,,False,952376.0,False,,False,407680.0,,407680.0,0,True,False
C,A,20090101,2009,52,2009,24,AGO,Angola,M,Import,266,GAB,Gabon,0,W00,World,H3,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,50350.0,False,-1,N/A,,False,50350.0,False,,False,10914.0,,10914.0,0,True,False
C,A,20090101,2009,52,2009,24,AGO,Angola,M,Import,504,MAR,Morocco,0,W00,World,H3,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,6248809.0,False,-1,N/A,,False,6248809.0,False,,False,3433745.0,,3433745.0,0,True,False
C,A,20090101,2009,52,2009,24,AGO,Angola,M,Import,528,NLD,Netherlands,0,W00,World,H3,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,99421.0,False,-1,N/A,,False,99421.0,False,,False,1270971.0,,1270971.0,0,True,False
C,A,20090101,2009,52,2009,24,AGO,Angola,M,Import,620,PRT,Portugal,0,W00,World,H3,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1369.0,False,-1,N/A,,False,1369.0,False,,False,2211.0,,2211.0,0,True,False
C,A,20090101,2009,52,2009,24,AGO,Angola,M,Import,710,ZAF,South Africa,0,W00,World,H3,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,150.0,False,-1,N/A,,False,150.0,False,,False,6716.0,,6716.0,0,True,False
C,A,20090101,2009,52,2009,24,AGO,Angola,M,Import,792,TUR,Türkiye,0,W00,World,H3,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,10863360.0,False,-1,N/A,,False,10863360.0,False,,False,3413542.0,,3413542.0,0,True,False
C,A,20090101,2009,52,2009,24,AGO,Angola,M,Import,826,GBR,United Kingdom,0,W00,World,H3,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,104533.0,False,-1,N/A,,False,104533.0,False,,False,2753245.0,,2753245.0,0,True,False
C,A,20090101,2009,52,2009,24,AGO,Angola,M,Import,842,USA,USA,0,W00,World,H3,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5505902.0,False,-1,N/A,,False,5505902.0,False,,False,2897168.0,,2897168.0,0,True,False
