typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20150101,2015,52,2015,376,ISR,Israel,M,Import,0,W00,World,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,24362.0,True,-1,N/A,,False,24362.0,True,,False,812000.0,,812000.0,6,True,False
C,A,20150101,2015,52,2015,376,ISR,Israel,M,Import,56,BEL,Belgium,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,48.0,True,-1,N/A,,False,48.0,True,,False,1000.0,,1000.0,6,True,False
C,A,20150101,2015,52,2015,376,ISR,Israel,M,Import,124,CAN,Canada,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,98.0,True,-1,N/A,,False,98.0,True,,False,6000.0,,6000.0,6,True,False
C,A,20150101,2015,52,2015,376,ISR,Israel,M,Import,156,CHN,China,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,271.0,True,-1,N/A,,False,271.0,True,,False,7000.0,,7000.0,6,True,False
C,A,20150101,2015,52,2015,376,ISR,Israel,M,Import,203,CZE,Czechia,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,98.0,True,-1,N/A,,False,98.0,True,,False,6000.0,,6000.0,6,True,False
C,A,20150101,2015,52,2015,376,ISR,Israel,M,Import,251,FRA,France,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,675.0,True,-1,N/A,,False,675.0,True,,False,28000.0,,28000.0,6,True,False
C,A,20150101,2015,52,2015,376,ISR,Israel,M,Import,276,DEU,Germany,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2080.0,True,-1,N/A,,False,2080.0,True,,False,72000.0,,72000.0,6,True,False
C,A,20150101,2015,52,2015,376,ISR,Israel,M,Import,344,HKG,"China, Hong Kong SAR",0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,114.0,True,-1,N/A,,False,114.0,True,,False,7000.0,,7000.0,6,True,False
C,A,20150101,2015,52,2015,376,ISR,Israel,M,Import,392,JPN,Japan,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5319.0,True,-1,N/A,,False,5319.0,True,,False,327000.0,,327000.0,6,True,False
C,A,20150101,2015,52,2015,376,ISR,Israel,M,Import,757,CHE,Switzerland,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,309.0,True,-1,N/A,,False,309.0,True,,False,19000.0,,19000.0,6,True,False
C,A,20150101,2015,52,2015,376,ISR,Israel,M,Import,826,GBR,United Kingdom,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3890.0,True,-1,N/A,,False,3890.0,True,,False,87000.0,,87000.0,6,True,False
C,A,20150101,2015,52,2015,376,ISR,Israel,M,Import,842,USA,USA,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,11462.0,True,-1,N/A,,False,11462.0,True,,False,252000.0,,252000.0,6,True,False
