typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20190101,2019,52,2019,642,ROU,Romania,M,Import,0,W00,World,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,8762915.9,False,8,kg,8762915.9,False,8762915.9,False,0.0,False,1320469.91,0.0,1320469.91,0,False,True
C,A,20190101,2019,52,2019,642,ROU,Romania,M,Import,100,BGR,Bulgaria,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4709542.0,False,8,kg,4709542.0,False,4709542.0,False,0.0,False,657822.51,0.0,657822.51,0,False,True
C,A,20190101,2019,52,2019,642,ROU,Romania,M,Import,156,CHN,China,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,26000.9,False,8,kg,26000.9,False,26000.9,False,0.0,False,8956.29,0.0,8956.29,0,False,True
C,A,20190101,2019,52,2019,642,ROU,Romania,M,Import,276,DEU,Germany,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,23490.0,False,8,kg,23490.0,False,23490.0,False,0.0,False,14311.48,0.0,14311.48,0,False,True
C,A,20190101,2019,52,2019,642,ROU,Romania,M,Import,300,GRC,Greece,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,14.0,False,8,kg,14.0,False,14.0,False,0.0,False,1.85,0.0,1.85,0,False,True
C,A,20190101,2019,52,2019,642,ROU,Romania,M,Import,348,HUN,Hungary,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7.0,False,8,kg,7.0,False,7.0,False,0.0,False,0.93,0.0,0.93,0,False,True
C,A,20190101,2019,52,2019,642,ROU,Romania,M,Import,376,ISR,Israel,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,69.0,False,8,kg,69.0,False,69.0,False,0.0,False,724.04,0.0,724.04,0,False,True
C,A,20190101,2019,52,2019,642,ROU,Romania,M,Import,380,ITA,Italy,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,159479.0,False,8,kg,159479.0,False,159479.0,False,0.0,False,60857.66,0.0,60857.66,0,False,True
C,A,20190101,2019,52,2019,642,ROU,Romania,M,Import,528,NLD,Netherlands,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,106666.0,False,8,kg,106666.0,False,106666.0,False,0.0,False,56599.49,0.0,56599.49,0,False,True
C,A,20190101,2019,52,2019,642,ROU,Romania,M,Import,616,POL,Poland,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,11.0,False,8,kg,11.0,False,11.0,False,0.0,False,1.43,0.0,1.43,0,False,True
C,A,20190101,2019,52,2019,642,ROU,Romania,M,Import,703,SVK,Slovakia,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,300.0,False,8,kg,300.0,False,300.0,False,0.0,False,132.2,0.0,132.2,0,False,True
