typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20150101,2015,52,2015,504,MAR,Morocco,M,Import,0,W00,World,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,13265.245,False,8,kg,13265.245,False,13265.245,False,,False,77024.949,,77024.949,0,False,True
C,A,20150101,2015,52,2015,504,MAR,Morocco,M,Import,36,AUS,Australia,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,0.02,False,8,kg,0.02,False,0.02,False,,False,55.752,,55.752,0,False,True
C,A,20150101,2015,52,2015,504,MAR,Morocco,M,Import,56,BEL,Belgium,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,54.285,False,8,kg,54.285,False,54.285,False,,False,1727.697,,1727.697,0,False,True
C,A,20150101,2015,52,2015,504,MAR,Morocco,M,Import,156,CHN,China,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,12206.0,False,8,kg,12206.0,False,12206.0,False,,False,55706.785,,55706.785,0,False,True
C,A,20150101,2015,52,2015,504,MAR,Morocco,M,Import,251,FRA,France,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,13.1,False,8,kg,13.1,False,13.1,False,,False,714.425,,714.425,0,False,True
C,A,20150101,2015,52,2015,504,MAR,Morocco,M,Import,276,DEU,Germany,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,31.92,False,8,kg,31.92,False,31.92,False,,False,5433.871,,5433.871,0,False,True
C,A,20150101,2015,52,2015,504,MAR,Morocco,M,Import,344,HKG,"China, Hong Kong SAR",0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,475.0,False,8,kg,475.0,False,475.0,False,,False,3284.243,,3284.243,0,False,True
C,A,20150101,2015,52,2015,504,MAR,Morocco,M,Import,380,ITA,Italy,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,40.0,False,8,kg,40.0,False,40.0,False,,False,1010.505,,1010.505,0,False,True
C,A,20150101,2015,52,2015,504,MAR,Morocco,M,Import,699,IND,India,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,417.7,False,8,kg,417.7,False,417.7,False,,False,2625.877,,2625.877,0,False,True
C,A,20150101,2015,52,2015,504,MAR,Morocco,M,Import,702,SGP,Singapore,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,0.1,False,8,kg,0.1,False,0.1,False,,False,39.149,,39.149,0,False,True
C,A,20150101,2015,52,2015,504,MAR,Morocco,M,Import,724,ESP,Spain,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,26.0,False,8,kg,26.0,False,26.0,False,,False,6006.149,,6006.149,0,False,True
C,A,20150101,2015,52,2015,504,MAR,Morocco,M,Import,842,USA,USA,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,1.12,False,8,kg,1.12,False,1.12,False,,False,420.497,,420.497,0,False,True
