typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20180101,2018,52,2018,826,GBR,United Kingdom,M,Import,0,W00,World,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,68980777.0,False,8,kg,68980777.0,False,68980777.0,False,0.0,False,16653544.778,,16653544.778,0,False,True
C,A,20180101,2018,52,2018,826,GBR,United Kingdom,M,Import,56,BEL,Belgium,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,46580.0,False,8,kg,46580.0,False,46580.0,False,0.0,False,12483.992,,12483.992,0,False,True
C,A,20180101,2018,52,2018,826,GBR,United Kingdom,M,Import,156,CHN,China,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,1579444.0,False,8,kg,1579444.0,False,1579444.0,False,0.0,False,599331.707,,599331.707,0,False,True
C,A,20180101,2018,52,2018,826,GBR,United Kingdom,M,Import,251,FRA,France,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,27100.0,False,8,kg,27100.0,False,27100.0,False,0.0,False,9212.5,,9212.5,0,False,True
C,A,20180101,2018,52,2018,826,GBR,United Kingdom,M,Import,276,DEU,Germany,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,358581.0,False,8,kg,358581.0,False,358581.0,False,0.0,False,144175.221,,144175.221,0,False,True
C,A,20180101,2018,52,2018,826,GBR,United Kingdom,M,Import,372,IRL,Ireland,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,166847.0,False,8,kg,166847.0,False,166847.0,False,0.0,False,55392.457,,55392.457,0,False,True
C,A,20180101,2018,52,2018,826,GBR,United Kingdom,M,Import,380,ITA,Italy,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,21000.0,False,8,kg,21000.0,False,21000.0,False,0.0,False,21482.93,,21482.93,0,False,True
C,A,20180101,2018,52,2018,826,GBR,United Kingdom,M,Import,392,JPN,Japan,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,40174.0,False,8,kg,40174.0,False,40174.0,False,0.0,False,209544.995,,209544.995,0,False,True
C,A,20180101,2018,52,2018,826,GBR,United Kingdom,M,Import,500,MSR,Montserrat,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,4420000.0,False,8,kg,4420000.0,False,4420000.0,False,0.0,False,647435.051,,647435.051,0,False,True
C,A,20180101,2018,52,2018,826,GBR,United Kingdom,M,Import,504,MAR,Morocco,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,509000.0,False,8,kg,509000.0,False,509000.0,False,0.0,False,89412.77,,89412.77,0,False,True
C,A,20180101,2018,52,2018,826,GBR,United Kingdom,M,Import,528,NLD,Netherlands,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,57715000.0,False,8,kg,57715000.0,False,57715000.0,False,0.0,False,12490459.905,,12490459.905,0,False,True
C,A,20180101,2018,52,2018,826,GBR,United Kingdom,M,Import,579,NOR,Norway,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,1539800.0,False,8,kg,1539800.0,False,1539800.0,False,0.0,False,1768195.313,,1768195.313,0,False,True
C,A,20180101,2018,52,2018,826,GBR,United Kingdom,M,Import,616,POL,Poland,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,313.0,False,8,kg,313.0,False,313.0,False,0.0,False,194.875,,194.875,0,False,True
C,A,20180101,2018,52,2018,826,GBR,United Kingdom,M,Import,724,ESP,Spain,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,542795.0,False,8,kg,542795.0,False,542795.0,False,0.0,False,179581.012,,179581.012,0,False,True
C,A,20180101,2018,52,2018,826,GBR,United Kingdom,M,Import,752,SWE,Sweden,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,24000.0,False,8,kg,24000.0,False,24000.0,False,0.0,False,6406.838,,6406.838,0,False,True
C,A,20180101,2018,52,2018,826,GBR,United Kingdom,M,Import,792,TUR,Türkiye,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,1986049.0,False,8,kg,1986049.0,False,1986049.0,False,0.0,False,410798.473,,410798.473,0,False,True
C,A,20180101,2018,52,2018,826,GBR,United Kingdom,M,Import,842,USA,USA,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,4094.0,False,8,kg,4094.0,False,4094.0,False,0.0,False,9436.739,,9436.739,0,False,True
