typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20180101,2018,52,2018,170,COL,Colombia,M,Import,0,W00,World,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,52061730.33,False,8,kg,52061730.33,False,52061730.33,False,,False,8967483.22,7454775.15,8967483.22,0,False,True
C,A,20180101,2018,52,2018,170,COL,Colombia,M,Import,68,BOL,Bolivia (Plurinational State of),0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,1975590.0,False,8,kg,1975590.0,False,1975590.0,False,,False,361083.46,262635.0,361083.46,0,False,True
C,A,20180101,2018,52,2018,170,COL,Colombia,M,Import,156,CHN,China,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,1854.7,False,8,kg,1854.7,False,1854.7,False,,False,2086.59,1836.37,2086.59,0,False,True
C,A,20180101,2018,52,2018,170,COL,Colombia,M,Import,380,ITA,Italy,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,48000.0,False,8,kg,48000.0,False,48000.0,False,,False,20955.11,17505.51,20955.11,0,False,True
C,A,20180101,2018,52,2018,170,COL,Colombia,M,Import,484,MEX,Mexico,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,16959707.0,False,8,kg,16959707.0,False,16959707.0,False,,False,3194626.93,2716417.27,3194626.93,0,False,True
C,A,20180101,2018,52,2018,170,COL,Colombia,M,Import,504,MAR,Morocco,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,6543190.0,False,8,kg,6543190.0,False,6543190.0,False,,False,665801.3,449255.43,665801.3,0,False,True
C,A,20180101,2018,52,2018,170,COL,Colombia,M,Import,528,NLD,Netherlands,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,52702.0,False,8,kg,52702.0,False,52702.0,False,,False,28737.35,24572.45,28737.35,0,False,True
C,A,20180101,2018,52,2018,170,COL,Colombia,M,Import,604,PER,Peru,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,13148096.0,False,8,kg,13148096.0,False,13148096.0,False,,False,2751576.5,2558105.18,2751576.5,0,False,True
C,A,20180101,2018,52,2018,170,COL,Colombia,M,Import,699,IND,India,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,12809825.0,False,8,kg,12809825.0,False,12809825.0,False,,False,1797760.39,1297462.6,1797760.39,0,False,True
C,A,20180101,2018,52,2018,170,COL,Colombia,M,Import,704,VNM,Viet Nam,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,1000.0,False,8,kg,1000.0,False,1000.0,False,,False,960.79,900.0,960.79,0,False,True
C,A,20180101,2018,52,2018,170,COL,Colombia,M,Import,724,ESP,Spain,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,60525.0,False,8,kg,60525.0,False,60525.0,False,,False,31328.79,28639.18,31328.79,0,False,True
C,A,20180101,2018,52,2018,170,COL,Colombia,M,Import,838,X2 ,Free Zones,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,218.31,False,8,kg,218.31,False,218.31,False,,False,103.88,103.86,103.88,0,False,True
C,A,20180101,2018,52,2018,170,COL,Colombia,M,Import,842,USA,USA,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,461022.32,False,8,kg,461022.32,False,461022.32,False,,False,112462.13,97342.3,112462.13,0,False,True
