typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20180101,2018,52,2018,724,ESP,Spain,M,Import,0,W00,World,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,74327054.278,True,-1,N/A,0.0,False,,True,0.0,False,14377873.531,,14377873.531,6,False,True
C,A,20180101,2018,52,2018,724,ESP,Spain,M,Import,156,CHN,China,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,36163397.578,True,-1,N/A,0.0,False,,True,0.0,False,8483460.709,,8483460.709,6,False,True
C,A,20180101,2018,52,2018,724,ESP,Spain,M,Import,251,FRA,France,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,980.0,False,8,kg,980.0,False,980.0,False,0.0,False,12289.625,,12289.625,0,False,True
C,A,20180101,2018,52,2018,724,ESP,Spain,M,Import,276,DEU,Germany,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,117879.0,False,8,kg,117879.0,False,117879.0,False,0.0,False,108776.409,,108776.409,0,False,True
C,A,20180101,2018,52,2018,724,ESP,Spain,M,Import,364,IRN,Iran,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,9.7,False,8,kg,9.7,False,9.7,False,0.0,False,259.944,,259.944,0,False,True
C,A,20180101,2018,52,2018,724,ESP,Spain,M,Import,380,ITA,Italy,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,197665.0,False,8,kg,197665.0,False,197665.0,False,0.0,False,104152.67,,104152.67,0,False,True
C,A,20180101,2018,52,2018,724,ESP,Spain,M,Import,484,MEX,Mexico,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1974950.0,False,8,kg,1974950.0,False,1974950.0,False,0.0,False,405384.922,,405384.922,0,False,True
C,A,20180101,2018,52,2018,724,ESP,Spain,M,Import,504,MAR,Morocco,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,31859900.0,False,8,kg,31859900.0,False,31859900.0,False,0.0,False,3743293.942,,3743293.942,0,False,True
C,A,20180101,2018,52,2018,724,ESP,Spain,M,Import,528,NLD,Netherlands,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,63980.0,False,8,kg,63980.0,False,63980.0,False,0.0,False,40123.987,,40123.987,0,False,True
C,A,20180101,2018,52,2018,724,ESP,Spain,M,Import,579,NOR,Norway,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,78.0,False,8,kg,78.0,False,78.0,False,0.0,False,570.86,,570.86,0,False,True
C,A,20180101,2018,52,2018,724,ESP,Spain,M,Import,586,PAK,Pakistan,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,25000.0,False,8,kg,25000.0,False,25000.0,False,0.0,False,6259.436,,6259.436,0,False,True
C,A,20180101,2018,52,2018,724,ESP,Spain,M,Import,620,PRT,Portugal,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,515775.0,False,8,kg,515775.0,False,515775.0,False,0.0,False,293766.204,,293766.204,0,False,True
C,A,20180101,2018,52,2018,724,ESP,Spain,M,Import,792,TUR,Türkiye,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3361440.0,False,8,kg,3361440.0,False,3361440.0,False,0.0,False,1146020.44,,1146020.44,0,False,True
