typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20120101,2012,52,2012,484,MEX,Mexico,M,Import,0,W00,World,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,157042.0,True,-1,N/A,,False,157042.0,True,,False,10799264.0,,10799264.0,6,True,False
C,A,20120101,2012,52,2012,484,MEX,Mexico,M,Import,36,AUS,Australia,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1.0,False,-1,N/A,,False,1.0,False,,False,349.0,,349.0,0,True,False
C,A,20120101,2012,52,2012,484,MEX,Mexico,M,Import,40,AUT,Austria,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1273.0,False,-1,N/A,,False,1273.0,False,,False,186680.0,,186680.0,0,True,False
C,A,20120101,2012,52,2012,484,MEX,Mexico,M,Import,76,BRA,Brazil,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7.0,False,-1,N/A,,False,7.0,False,,False,2987.0,,2987.0,0,True,False
C,A,20120101,2012,52,2012,484,MEX,Mexico,M,Import,124,CAN,Canada,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,121.0,False,-1,N/A,,False,121.0,False,,False,20046.0,,20046.0,0,True,False
C,A,20120101,2012,52,2012,484,MEX,Mexico,M,Import,156,CHN,China,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,58372.0,True,-1,N/A,,False,58372.0,True,,False,3239744.0,,3239744.0,6,True,False
C,A,20120101,2012,52,2012,484,MEX,Mexico,M,Import,233,EST,Estonia,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3000.0,False,-1,N/A,,False,3000.0,False,,False,332499.0,,332499.0,0,True,False
C,A,20120101,2012,52,2012,484,MEX,Mexico,M,Import,251,FRA,France,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7180.0,False,-1,N/A,,False,7180.0,False,,False,410286.0,,410286.0,0,True,False
C,A,20120101,2012,52,2012,484,MEX,Mexico,M,Import,276,DEU,Germany,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4249.0,True,-1,N/A,,False,4249.0,True,,False,235616.0,,235616.0,6,True,False
C,A,20120101,2012,52,2012,484,MEX,Mexico,M,Import,344,HKG,"China, Hong Kong SAR",0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,11.0,False,-1,N/A,,False,11.0,False,,False,106.0,,106.0,0,True,False
C,A,20120101,2012,52,2012,484,MEX,Mexico,M,Import,376,ISR,Israel,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2.0,True,-1,N/A,,False,2.0,True,,False,91.0,,91.0,6,True,False
C,A,20120101,2012,52,2012,484,MEX,Mexico,M,Import,392,JPN,Japan,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,14622.0,False,-1,N/A,,False,14622.0,False,,False,3010278.0,,3010278.0,0,True,False
C,A,20120101,2012,52,2012,484,MEX,Mexico,M,Import,490,S19,"Other Asia, nes",0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5.0,False,-1,N/A,,False,5.0,False,,False,1753.0,,1753.0,0,True,False
C,A,20120101,2012,52,2012,484,MEX,Mexico,M,Import,579,NOR,Norway,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4.0,True,-1,N/A,,False,4.0,True,,False,163.0,,163.0,6,True,False
C,A,20120101,2012,52,2012,484,MEX,Mexico,M,Import,643,RUS,Russian Federation,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3.0,True,-1,N/A,,False,3.0,True,,False,193.0,,193.0,6,True,False
C,A,20120101,2012,52,2012,484,MEX,Mexico,M,Import,699,IND,India,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,201.0,True,-1,N/A,,False,201.0,True,,False,12445.0,,12445.0,6,True,False
C,A,20120101,2012,52,2012,484,MEX,Mexico,M,Import,724,ESP,Spain,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2302.0,True,-1,N/A,,False,2302.0,True,,False,67449.0,,67449.0,6,True,False
C,A,20120101,2012,52,2012,484,MEX,Mexico,M,Import,757,CHE,Switzerland,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2.0,False,-1,N/A,,False,2.0,False,,False,1365.0,,1365.0,0,True,False
C,A,20120101,2012,52,2012,484,MEX,Mexico,M,Import,826,GBR,United Kingdom,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,42.0,True,-1,N/A,,False,42.0,True,,False,1885.0,,1885.0,6,True,False
C,A,20120101,2012,52,2012,484,MEX,Mexico,M,Import,842,USA,USA,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,65644.0,True,-1,N/A,,False,65644.0,True,,False,3275329.0,,3275329.0,6,True,False
