typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20170101,2017,52,2017,608,PHL,Philippines,M,Import,0,W00,World,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,231786.64,False,8,kg,231786.64,False,239223.71,False,,False,1228103.0,,1228103.0,0,False,True
C,A,20170101,2017,52,2017,608,PHL,Philippines,M,Import,36,AUS,Australia,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,15943.9,False,8,kg,15943.9,False,16352.7,False,,False,6424.0,,6424.0,0,False,True
C,A,20170101,2017,52,2017,608,PHL,Philippines,M,Import,56,BEL,Belgium,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,46310.2,False,8,kg,46310.2,False,47654.0,False,,False,197019.0,,197019.0,0,False,True
C,A,20170101,2017,52,2017,608,PHL,Philippines,M,Import,156,CHN,China,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,1004.25,False,8,kg,1004.25,False,1030.0,False,,False,4067.0,,4067.0,0,False,True
C,A,20170101,2017,52,2017,608,PHL,Philippines,M,Import,246,FIN,Finland,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,38724.0,False,8,kg,38724.0,False,41388.0,False,,False,316988.0,,316988.0,0,False,True
C,A,20170101,2017,52,2017,608,PHL,Philippines,M,Import,276,DEU,Germany,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,41382.49,False,8,kg,41382.49,False,42443.14,False,,False,259287.0,,259287.0,0,False,True
C,A,20170101,2017,52,2017,608,PHL,Philippines,M,Import,344,HKG,"China, Hong Kong SAR",0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,1170.0,False,8,kg,1170.0,False,1200.0,False,,False,2113.0,,2113.0,0,False,True
C,A,20170101,2017,52,2017,608,PHL,Philippines,M,Import,392,JPN,Japan,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,1834.45,False,8,kg,1834.45,False,1925.7,False,,False,33837.0,,33837.0,0,False,True
C,A,20170101,2017,52,2017,608,PHL,Philippines,M,Import,410,KOR,Rep. of Korea,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,27.16,False,8,kg,27.16,False,27.74,False,,False,3890.0,,3890.0,0,False,True
C,A,20170101,2017,52,2017,608,PHL,Philippines,M,Import,528,NLD,Netherlands,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,34780.3,False,8,kg,34780.3,False,35583.0,False,,False,179689.0,,179689.0,0,False,True
C,A,20170101,2017,52,2017,608,PHL,Philippines,M,Import,702,SGP,Singapore,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,9.71,False,8,kg,9.71,False,9.96,False,,False,2248.0,,2248.0,0,False,True
