typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,0,W00,World,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,715062163.0,True,-1,N/A,,False,715062163.0,True,,False,266563640.0,,266563640.0,6,True,False
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,433499701.0,True,-1,N/A,,False,433499701.0,True,,False,161601696.0,,161601696.0,6,True,False
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,276,DEU,Germany,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2267799.0,True,-1,N/A,,False,2267799.0,True,,False,845399.0,,845399.0,6,True,False
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,320,GTM,Guatemala,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,31922.0,True,-1,N/A,,False,31922.0,True,,False,11900.0,,11900.0,6,True,False
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,344,HKG,"China, Hong Kong SAR",0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,113052.0,True,-1,N/A,,False,113052.0,True,,False,42144.0,,42144.0,6,True,False
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,392,JPN,Japan,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1330755.0,True,-1,N/A,,False,1330755.0,True,,False,496084.0,,496084.0,6,True,False
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,430,LBR,Liberia,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,22651192.0,True,-1,N/A,,False,22651192.0,True,,False,8443999.0,,8443999.0,6,True,False
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,484,MEX,Mexico,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,95566686.0,True,-1,N/A,,False,95566686.0,True,,False,35625719.0,,35625719.0,6,True,False
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,504,MAR,Morocco,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,57128438.0,True,-1,N/A,,False,57128438.0,True,,False,21296560.0,,21296560.0,6,True,False
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,699,IND,India,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,102013025.0,True,-1,N/A,,False,102013025.0,True,,False,38028810.0,,38028810.0,6,True,False
C,A,20140101,2014,52,2014,842,USA,USA,M,Import,826,GBR,United Kingdom,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,459593.0,True,-1,N/A,,False,459593.0,True,,False,171329.0,,171329.0,6,True,False
