typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20180101,2018,52,2018,203,CZE,Czechia,M,Import,0,W00,World,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,218302.214,True,-1,N/A,0.0,False,218302.214,True,,False,7338606.0,6985379.0,7338606.0,0,False,True
C,A,20180101,2018,52,2018,203,CZE,Czechia,M,Import,40,AUT,Austria,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,49844.0,False,8,kg,49844.0,False,49844.0,False,,False,1793551.0,1793551.0,1793551.0,0,False,True
C,A,20180101,2018,52,2018,203,CZE,Czechia,M,Import,56,BEL,Belgium,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,35.88,True,-1,N/A,0.0,False,35.88,True,,False,749.0,727.0,749.0,0,False,True
C,A,20180101,2018,52,2018,203,CZE,Czechia,M,Import,124,CAN,Canada,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,1011.547,True,-1,N/A,0.0,False,1011.547,True,,False,26408.0,24613.0,26408.0,0,False,True
C,A,20180101,2018,52,2018,203,CZE,Czechia,M,Import,156,CHN,China,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,35732.68,True,-1,N/A,0.0,False,35732.68,True,,False,884067.0,830398.0,884067.0,0,False,True
C,A,20180101,2018,52,2018,203,CZE,Czechia,M,Import,251,FRA,France,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,967.321,True,-1,N/A,0.0,False,967.321,True,,False,35247.0,33053.0,35247.0,0,False,True
C,A,20180101,2018,52,2018,203,CZE,Czechia,M,Import,276,DEU,Germany,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,6734.16,True,-1,N/A,0.0,False,6734.16,True,,False,200419.0,200419.0,200419.0,0,False,True
C,A,20180101,2018,52,2018,203,CZE,Czechia,M,Import,380,ITA,Italy,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,400.0,False,8,kg,400.0,False,400.0,False,,False,8354.0,7970.0,8354.0,0,False,True
C,A,20180101,2018,52,2018,203,CZE,Czechia,M,Import,392,JPN,Japan,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,119781.0,False,8,kg,119781.0,False,119781.0,False,,False,4213956.0,3927407.0,4213956.0,0,False,True
C,A,20180101,2018,52,2018,203,CZE,Czechia,M,Import,490,S19,"Other Asia, nes",0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,2.189,True,-1,N/A,0.0,False,2.189,True,,False,80.0,74.0,80.0,0,False,True
C,A,20180101,2018,52,2018,203,CZE,Czechia,M,Import,568,E19,"Other Europe, nes",0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,100.0,False,8,kg,100.0,False,100.0,False,,False,6025.0,5609.0,6025.0,0,False,True
C,A,20180101,2018,52,2018,203,CZE,Czechia,M,Import,616,POL,Poland,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,1.0,False,8,kg,1.0,False,1.0,False,,False,3934.0,3934.0,3934.0,0,False,True
C,A,20180101,2018,52,2018,203,CZE,Czechia,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,131.618,True,-1,N/A,0.0,False,131.618,True,,False,4810.0,4469.0,4810.0,0,False,True
C,A,20180101,2018,52,2018,203,CZE,Czechia,M,Import,699,IND,India,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,105.473,True,-1,N/A,0.0,False,105.473,True,,False,2600.0,2464.0,2600.0,0,False,True
C,A,20180101,2018,52,2018,203,CZE,Czechia,M,Import,705,SVN,Slovenia,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,2.0,False,8,kg,2.0,False,2.0,False,,False,92.0,89.0,92.0,0,False,True
C,A,20180101,2018,52,2018,203,CZE,Czechia,M,Import,757,CHE,Switzerland,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,20.346,True,-1,N/A,0.0,False,20.346,True,,False,19105.0,18428.0,19105.0,0,False,True
C,A,20180101,2018,52,2018,203,CZE,Czechia,M,Import,826,GBR,United Kingdom,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,836.0,False,8,kg,836.0,False,836.0,False,,False,17800.0,16696.0,17800.0,0,False,True
C,A,20180101,2018,52,2018,203,CZE,Czechia,M,Import,842,USA,USA,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,2597.0,False,8,kg,2597.0,False,2597.0,False,,False,121409.0,115478.0,121409.0,0,False,True
