typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20150101,2015,52,2015,380,ITA,Italy,M,Import,0,W00,World,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,494735.0,False,8,kg,494735.0,False,494735.0,False,,False,12009539.841,,12009539.841,0,False,True
C,A,20150101,2015,52,2015,380,ITA,Italy,M,Import,40,AUT,Austria,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,30769.0,False,8,kg,30769.0,False,30769.0,False,,False,460100.858,,460100.858,0,False,True
C,A,20150101,2015,52,2015,380,ITA,Italy,M,Import,56,BEL,Belgium,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,28.0,False,8,kg,28.0,False,28.0,False,,False,1049.316,,1049.316,0,False,True
C,A,20150101,2015,52,2015,380,ITA,Italy,M,Import,156,CHN,China,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,111630.0,False,8,kg,111630.0,False,111630.0,False,,False,1893291.865,,1893291.865,0,False,True
C,A,20150101,2015,52,2015,380,ITA,Italy,M,Import,203,CZE,Czechia,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,1900.0,False,8,kg,1900.0,False,1900.0,False,,False,100741.034,,100741.034,0,False,True
C,A,20150101,2015,52,2015,380,ITA,Italy,M,Import,208,DNK,Denmark,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,2.0,False,8,kg,2.0,False,2.0,False,,False,18052.458,,18052.458,0,False,True
C,A,20150101,2015,52,2015,380,ITA,Italy,M,Import,233,EST,Estonia,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,5000.0,False,8,kg,5000.0,False,5000.0,False,,False,305033.85,,305033.85,0,False,True
C,A,20150101,2015,52,2015,380,ITA,Italy,M,Import,251,FRA,France,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,155726.0,False,8,kg,155726.0,False,155726.0,False,,False,3438942.751,,3438942.751,0,False,True
C,A,20150101,2015,52,2015,380,ITA,Italy,M,Import,276,DEU,Germany,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,32939.0,False,8,kg,32939.0,False,32939.0,False,,False,1916156.093,,1916156.093,0,False,True
C,A,20150101,2015,52,2015,380,ITA,Italy,M,Import,344,HKG,"China, Hong Kong SAR",0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,5000.0,False,8,kg,5000.0,False,5000.0,False,,False,469102.13,,469102.13,0,False,True
C,A,20150101,2015,52,2015,380,ITA,Italy,M,Import,348,HUN,Hungary,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,27.0,False,8,kg,27.0,False,27.0,False,,False,850.767,,850.767,0,False,True
C,A,20150101,2015,52,2015,380,ITA,Italy,M,Import,392,JPN,Japan,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,191.0,False,8,kg,191.0,False,191.0,False,,False,21202.626,,21202.626,0,False,True
C,A,20150101,2015,52,2015,380,ITA,Italy,M,Import,410,KOR,Rep. of Korea,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,101.0,False,8,kg,101.0,False,101.0,False,,False,26210.727,,26210.727,0,False,True
C,A,20150101,2015,52,2015,380,ITA,Italy,M,Import,490,S19,"Other Asia, nes",0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,50.0,False,8,kg,50.0,False,50.0,False,,False,1842.404,,1842.404,0,False,True
