typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20010101,2001,52,2001,784,ARE,United Arab Emirates,M,Import,842,USA,USA,0,W00,World,H1,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,393.0,False,-1,N/A,,False,393.0,False,,False,30232.0,,30232.0,0,False,False
C,A,20010101,2001,52,2001,784,ARE,United Arab Emirates,M,Import,826,GBR,United Kingdom,0,W00,World,H1,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,21010.0,False,-1,N/A,,False,21010.0,False,,False,32365.0,,32365.0,0,False,False
C,A,20010101,2001,52,2001,784,ARE,United Arab Emirates,M,Import,818,EGY,Egypt,0,W00,World,H1,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,160.0,False,-1,N/A,,False,160.0,False,,False,5227.0,,5227.0,0,False,False
C,A,20010101,2001,52,2001,784,ARE,United Arab Emirates,M,Import,724,ESP,Spain,0,W00,World,H1,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4.0,False,-1,N/A,,False,4.0,False,,False,109.0,,109.0,0,False,False
C,A,20010101,2001,52,2001,784,ARE,United Arab Emirates,M,Import,699,IND,India,0,W00,World,H1,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,36509.0,False,-1,N/A,,False,36509.0,False,,False,42946.0,,42946.0,0,False,False
C,A,20010101,2001,52,2001,784,ARE,United Arab Emirates,M,Import,682,SAU,Saudi Arabia,0,W00,World,H1,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,45.0,False,-1,N/A,,False,45.0,False,,False,545.0,,545.0,0,False,False
C,A,20010101,2001,52,2001,784,ARE,United Arab Emirates,M,Import,490,S19,"Other Asia, nes",0,W00,World,H1,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,143.0,False,-1,N/A,,False,143.0,False,,False,2745.0,,2745.0,0,False,False
C,A,20010101,2001,52,2001,784,ARE,United Arab Emirates,M,Import,410,KOR,Rep. of Korea,0,W00,World,H1,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,48.0,False,-1,N/A,,False,48.0,False,,False,11482.0,,11482.0,0,False,False
C,A,20010101,2001,52,2001,784,ARE,United Arab Emirates,M,Import,380,ITA,Italy,0,W00,World,H1,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,735.0,False,-1,N/A,,False,735.0,False,,False,7031.0,,7031.0,0,False,False
C,A,20010101,2001,52,2001,784,ARE,United Arab Emirates,M,Import,276,DEU,Germany,0,W00,World,H1,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,71.0,False,-1,N/A,,False,71.0,False,,False,687.0,,687.0,0,False,False
C,A,20010101,2001,52,2001,784,ARE,United Arab Emirates,M,Import,156,CHN,China,0,W00,World,H1,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,440.0,False,-1,N/A,,False,440.0,False,,False,2160.0,,2160.0,0,False,False
C,A,20010101,2001,52,2001,784,ARE,United Arab Emirates,M,Import,124,CAN,Canada,0,W00,World,H1,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,380.0,False,-1,N/A,,False,380.0,False,,False,15032.0,,15032.0,0,False,False
C,A,20010101,2001,52,2001,784,ARE,United Arab Emirates,M,Import,0,W00,World,0,W00,World,H1,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,59938.0,False,,False,150559.0,,150559.0,0,False,False
