typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20080101,2008,52,2008,112,BLR,Belarus,M,Import,156,CHN,China,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,10100.0,False,-1,N/A,,False,10100.0,False,,False,94100.0,,94100.0,0,True,False
C,A,20080101,2008,52,2008,112,BLR,Belarus,M,Import,380,ITA,Italy,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,725.0,False,-1,N/A,,False,725.0,False,,False,19700.0,,19700.0,0,True,False
C,A,20080101,2008,52,2008,112,BLR,Belarus,M,Import,251,FRA,France,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,800.0,False,-1,N/A,,False,800.0,False,,False,39400.0,,39400.0,0,True,False
C,A,20080101,2008,52,2008,112,BLR,Belarus,M,Import,826,GBR,United Kingdom,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1400.0,False,-1,N/A,,False,1400.0,False,,False,68000.0,,68000.0,0,True,False
C,A,20080101,2008,52,2008,112,BLR,Belarus,M,Import,724,ESP,Spain,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,10.0,True,-1,N/A,,False,10.0,True,,False,100.0,,100.0,6,True,False
C,A,20080101,2008,52,2008,112,BLR,Belarus,M,Import,0,W00,World,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,24322.0,True,-1,N/A,,False,24322.0,True,,False,342600.0,,342600.0,6,True,False
C,A,20080101,2008,52,2008,112,BLR,Belarus,M,Import,842,USA,USA,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,22.0,True,-1,N/A,,False,22.0,True,,False,1000.0,,1000.0,6,True,False
C,A,20080101,2008,52,2008,112,BLR,Belarus,M,Import,40,AUT,Austria,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,29.0,True,-1,N/A,,False,29.0,True,,False,1500.0,,1500.0,6,True,False
C,A,20080101,2008,52,2008,112,BLR,Belarus,M,Import,804,UKR,Ukraine,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1.0,False,-1,N/A,,False,1.0,False,,False,400.0,,400.0,0,True,False
C,A,20080101,2008,52,2008,112,BLR,Belarus,M,Import,428,LVA,Latvia,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1.0,False,-1,N/A,,False,1.0,False,,False,400.0,,400.0,0,True,False
C,A,20080101,2008,52,2008,112,BLR,Belarus,M,Import,757,CHE,Switzerland,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4.0,False,-1,N/A,,False,4.0,False,,False,3500.0,,3500.0,0,True,False
C,A,20080101,2008,52,2008,112,BLR,Belarus,M,Import,643,RUS,Russian Federation,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,11210.0,False,-1,N/A,,False,11210.0,False,,False,113600.0,,113600.0,0,True,False
C,A,20080101,2008,52,2008,112,BLR,Belarus,M,Import,276,DEU,Germany,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,20.0,False,-1,N/A,,False,20.0,False,,False,900.0,,900.0,0,True,False
