typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20170101,2017,52,2017,784,ARE,United Arab Emirates,M,Import,0,W00,World,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,83368634.0,False,8,kg,83368634.0,False,83368634.0,False,0.0,False,9868575.268,0.0,9868575.268,0,False,True
C,A,20170101,2017,52,2017,784,ARE,United Arab Emirates,M,Import,156,CHN,China,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4020880.0,False,8,kg,4020880.0,False,4020880.0,False,0.0,False,1563228.418,0.0,1563228.418,0,False,True
C,A,20170101,2017,52,2017,784,ARE,United Arab Emirates,M,Import,364,IRN,Iran,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,153757.0,False,8,kg,153757.0,False,153757.0,False,0.0,False,64408.423,0.0,64408.423,0,False,True
C,A,20170101,2017,52,2017,784,ARE,United Arab Emirates,M,Import,410,KOR,Rep. of Korea,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,222200.0,False,8,kg,222200.0,False,222200.0,False,0.0,False,87787.858,0.0,87787.858,0,False,True
C,A,20170101,2017,52,2017,784,ARE,United Arab Emirates,M,Import,504,MAR,Morocco,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,324040.0,False,8,kg,324040.0,False,324040.0,False,0.0,False,30277.731,0.0,30277.731,0,False,True
C,A,20170101,2017,52,2017,784,ARE,United Arab Emirates,M,Import,528,NLD,Netherlands,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,267444.0,False,8,kg,267444.0,False,267444.0,False,0.0,False,126874.572,0.0,126874.572,0,False,True
C,A,20170101,2017,52,2017,784,ARE,United Arab Emirates,M,Import,586,PAK,Pakistan,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,22253000.0,False,8,kg,22253000.0,False,22253000.0,False,0.0,False,1227737.975,0.0,1227737.975,0,False,True
C,A,20170101,2017,52,2017,784,ARE,United Arab Emirates,M,Import,699,IND,India,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,55199300.0,False,8,kg,55199300.0,False,55199300.0,False,0.0,False,6449695.371,0.0,6449695.371,0,False,True
C,A,20170101,2017,52,2017,784,ARE,United Arab Emirates,M,Import,757,CHE,Switzerland,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,61.0,False,8,kg,61.0,False,61.0,False,0.0,False,10516.267,0.0,10516.267,0,False,True
C,A,20170101,2017,52,2017,784,ARE,United Arab Emirates,M,Import,764,THA,Thailand,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,129320.0,False,8,kg,129320.0,False,129320.0,False,0.0,False,48514.35,0.0,48514.35,0,False,True
C,A,20170101,2017,52,2017,784,ARE,United Arab Emirates,M,Import,792,TUR,Türkiye,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,25.0,False,8,kg,25.0,False,25.0,False,0.0,False,2.995,0.0,2.995,0,False,True
