typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20190101,2019,52,2019,458,MYS,Malaysia,M,Import,0,W00,World,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,92995830.0,False,8,kg,92995830.0,False,92995830.0,False,0.0,False,13704194.673,0.0,13704194.673,0,False,True
C,A,20190101,2019,52,2019,458,MYS,Malaysia,M,Import,156,CHN,China,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4630130.0,False,8,kg,4630130.0,False,4630130.0,False,0.0,False,2006892.523,0.0,2006892.523,0,False,True
C,A,20190101,2019,52,2019,458,MYS,Malaysia,M,Import,276,DEU,Germany,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,25000.0,False,8,kg,25000.0,False,25000.0,False,0.0,False,27676.004,0.0,27676.004,0,False,True
C,A,20190101,2019,52,2019,458,MYS,Malaysia,M,Import,458,MYS,Malaysia,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,11085000.0,False,8,kg,11085000.0,False,11085000.0,False,0.0,False,1282240.471,0.0,1282240.471,0,False,True
C,A,20190101,2019,52,2019,458,MYS,Malaysia,M,Import,490,S19,"Other Asia, nes",0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4900.0,False,8,kg,4900.0,False,4900.0,False,0.0,False,2197.723,0.0,2197.723,0,False,True
C,A,20190101,2019,52,2019,458,MYS,Malaysia,M,Import,528,NLD,Netherlands,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,48000.0,False,8,kg,48000.0,False,48000.0,False,0.0,False,24915.814,0.0,24915.814,0,False,True
C,A,20190101,2019,52,2019,458,MYS,Malaysia,M,Import,579,NOR,Norway,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,120000.0,False,8,kg,120000.0,False,120000.0,False,0.0,False,36177.937,0.0,36177.937,0,False,True
C,A,20190101,2019,52,2019,458,MYS,Malaysia,M,Import,699,IND,India,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,38182450.0,False,8,kg,38182450.0,False,38182450.0,False,0.0,False,4724595.596,0.0,4724595.596,0,False,True
C,A,20190101,2019,52,2019,458,MYS,Malaysia,M,Import,702,SGP,Singapore,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1000.0,False,8,kg,1000.0,False,1000.0,False,0.0,False,1407.614,0.0,1407.614,0,False,True
C,A,20190101,2019,52,2019,458,MYS,Malaysia,M,Import,704,VNM,Viet Nam,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,28726400.0,False,8,kg,28726400.0,False,28726400.0,False,0.0,False,4211426.334,0.0,4211426.334,0,False,True
C,A,20190101,2019,52,2019,458,MYS,Malaysia,M,Import,764,THA,Thailand,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,9897950.0,False,8,kg,9897950.0,False,9897950.0,False,0.0,False,1348679.102,0.0,1348679.102,0,False,True
