typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20190101,2019,52,2019,276,DEU,Germany,M,Import,0,W00,World,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,97722862.768,True,-1,N/A,0.0,False,97722862.768,True,0.0,False,25708141.756,,25708141.756,6,False,True
C,A,20190101,2019,52,2019,276,DEU,Germany,M,Import,40,AUT,Austria,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,115900.0,False,8,kg,115900.0,False,115900.0,False,0.0,False,37808.534,,37808.534,0,False,True
C,A,20190101,2019,52,2019,276,DEU,Germany,M,Import,56,BEL,Belgium,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,52000.0,False,8,kg,52000.0,False,52000.0,False,0.0,False,17627.338,,17627.338,0,False,True
C,A,20190101,2019,52,2019,276,DEU,Germany,M,Import,76,BRA,Brazil,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,26400.0,False,8,kg,26400.0,False,26400.0,False,0.0,False,9644.429,,9644.429,0,False,True
C,A,20190101,2019,52,2019,276,DEU,Germany,M,Import,100,BGR,Bulgaria,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,26474951.0,False,8,kg,26474951.0,False,26474951.0,False,0.0,False,4077882.57,,4077882.57,0,False,True
C,A,20190101,2019,52,2019,276,DEU,Germany,M,Import,156,CHN,China,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,31451108.768,True,-1,N/A,0.0,False,31451108.768,True,0.0,False,7046733.09,,7046733.09,6,False,True
C,A,20190101,2019,52,2019,276,DEU,Germany,M,Import,251,FRA,France,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,33170.0,False,8,kg,33170.0,False,33170.0,False,0.0,False,27214.666,,27214.666,0,False,True
C,A,20190101,2019,52,2019,276,DEU,Germany,M,Import,380,ITA,Italy,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3771270.0,False,8,kg,3771270.0,False,3771270.0,False,0.0,False,645195.936,,645195.936,0,False,True
C,A,20190101,2019,52,2019,276,DEU,Germany,M,Import,504,MAR,Morocco,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5408848.0,False,8,kg,5408848.0,False,5408848.0,False,0.0,False,623726.053,,623726.053,0,False,True
C,A,20190101,2019,52,2019,276,DEU,Germany,M,Import,528,NLD,Netherlands,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,17464700.0,False,8,kg,17464700.0,False,17464700.0,False,0.0,False,7312793.478,,7312793.478,0,False,True
C,A,20190101,2019,52,2019,276,DEU,Germany,M,Import,620,PRT,Portugal,0,W00,World,H5,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,11000.0,False,8,kg,11000.0,False,11000.0,False,0.0,False,7470.122,,7470.122,0,False,True
