typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20140101,2014,52,2014,710,ZAF,South Africa,M,Import,0,W00,World,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5699167.15,False,8,kg,5699167.15,False,5699167.15,False,0.0,False,,1732089.652,1732089.652,0,False,True
C,A,20140101,2014,52,2014,710,ZAF,South Africa,M,Import,56,BEL,Belgium,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,385.28,False,8,kg,385.28,False,385.28,False,0.0,False,,862.634,862.634,0,False,True
C,A,20140101,2014,52,2014,710,ZAF,South Africa,M,Import,120,CMR,Cameroon,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,426283.0,False,8,kg,426283.0,False,426283.0,False,0.0,False,,134352.83,134352.83,0,False,True
C,A,20140101,2014,52,2014,710,ZAF,South Africa,M,Import,156,CHN,China,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,716028.5,False,8,kg,716028.5,False,716028.5,False,0.0,False,,222785.605,222785.605,0,False,True
C,A,20140101,2014,52,2014,710,ZAF,South Africa,M,Import,251,FRA,France,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,197200.0,False,8,kg,197200.0,False,197200.0,False,0.0,False,,73421.832,73421.832,0,False,True
C,A,20140101,2014,52,2014,710,ZAF,South Africa,M,Import,276,DEU,Germany,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,40320.25,False,8,kg,40320.25,False,40320.25,False,0.0,False,,25796.681,25796.681,0,False,True
C,A,20140101,2014,52,2014,710,ZAF,South Africa,M,Import,528,NLD,Netherlands,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,791625.0,False,8,kg,791625.0,False,791625.0,False,0.0,False,,459124.931,459124.931,0,False,True
C,A,20140101,2014,52,2014,710,ZAF,South Africa,M,Import,699,IND,India,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2317007.7,False,8,kg,2317007.7,False,2317007.7,False,0.0,False,,456958.443,456958.443,0,False,True
C,A,20140101,2014,52,2014,710,ZAF,South Africa,M,Import,716,ZWE,Zimbabwe,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,203000.0,False,8,kg,203000.0,False,203000.0,False,0.0,False,,40879.747,40879.747,0,False,True
C,A,20140101,2014,52,2014,710,ZAF,South Africa,M,Import,724,ESP,Spain,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,200075.0,False,8,kg,200075.0,False,200075.0,False,0.0,False,,122828.165,122828.165,0,False,True
C,A,20140101,2014,52,2014,710,ZAF,South Africa,M,Import,764,THA,Thailand,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,21000.0,False,8,kg,21000.0,False,21000.0,False,0.0,False,,7650.318,7650.318,0,False,True
C,A,20140101,2014,52,2014,710,ZAF,South Africa,M,Import,826,GBR,United Kingdom,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,786200.0,False,8,kg,786200.0,False,786200.0,False,0.0,False,,185095.255,185095.255,0,False,True
C,A,20140101,2014,52,2014,710,ZAF,South Africa,M,Import,842,USA,USA,0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,22.42,False,8,kg,22.42,False,22.42,False,0.0,False,,1804.67,1804.67,0,False,True
C,A,20140101,2014,52,2014,710,ZAF,South Africa,M,Import,899,_X ,"Areas, nes",0,W00,World,H4,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,20.0,False,8,kg,20.0,False,20.0,False,0.0,False,,528.542,528.542,0,False,True
