typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20010101,2001,52,2001,203,CZE,Czechia,M,Import,233,EST,Estonia,0,W00,World,H1,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,403.0,False,-1,N/A,,False,403.0,False,,False,2425.0,,2425.0,0,False,False
C,A,20010101,2001,52,2001,203,CZE,Czechia,M,Import,392,JPN,Japan,0,W00,World,H1,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,177.0,False,-1,N/A,,False,177.0,False,,False,38005.0,,38005.0,0,False,False
C,A,20010101,2001,52,2001,203,CZE,Czechia,M,Import,752,SWE,Sweden,0,W00,World,H1,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,98.0,False,-1,N/A,,False,98.0,False,,False,7020.0,,7020.0,0,False,False
C,A,20010101,2001,52,2001,203,CZE,Czechia,M,Import,156,CHN,China,0,W00,World,H1,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,32486.0,False,-1,N/A,,False,32486.0,False,,False,432746.0,,432746.0,0,False,False
C,A,20010101,2001,52,2001,203,CZE,Czechia,M,Import,842,USA,USA,0,W00,World,H1,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4968.0,False,-1,N/A,,False,4968.0,False,,False,48565.0,,48565.0,0,False,False
C,A,20010101,2001,52,2001,203,CZE,Czechia,M,Import,826,GBR,United Kingdom,0,W00,World,H1,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,98038.0,False,-1,N/A,,False,98038.0,False,,False,1437827.0,,1437827.0,0,False,False
C,A,20010101,2001,52,2001,203,CZE,Czechia,M,Import,251,FRA,France,0,W00,World,H1,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,36584.0,False,-1,N/A,,False,36584.0,False,,False,358146.0,,358146.0,0,False,False
C,A,20010101,2001,52,2001,203,CZE,Czechia,M,Import,40,AUT,Austria,0,W00,World,H1,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,632.0,False,-1,N/A,,False,632.0,False,,False,4413.0,,4413.0,0,False,False
C,A,20010101,2001,52,2001,203,CZE,Czechia,M,Import,757,CHE,Switzerland,0,W00,World,H1,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,8.0,False,-1,N/A,,False,8.0,False,,False,504.0,,504.0,0,False,False
C,A,20010101,2001,52,2001,203,CZE,Czechia,M,Import,276,DEU,Germany,0,W00,World,H1,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,22950.0,False,-1,N/A,,False,22950.0,False,,False,164666.0,,164666.0,0,False,False
C,A,20010101,2001,52,2001,203,CZE,Czechia,M,Import,0,W00,World,0,W00,World,H1,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,196351.0,False,-1,N/A,,False,196351.0,False,,False,2495093.0,,2495093.0,0,False,False
C,A,20010101,2001,52,2001,203,CZE,Czechia,M,Import,490,S19,"Other Asia, nes",0,W00,World,H1,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4.0,False,-1,N/A,,False,4.0,False,,False,505.0,,505.0,0,False,False
