typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20120101,2012,52,2012,554,NZL,New Zealand,M,Import,0,W00,World,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,465.327,True,-1,N/A,0.0,False,465.327,True,,False,36277.211,,36277.211,0,False,True
C,A,20120101,2012,52,2012,554,NZL,New Zealand,M,Import,36,AUS,Australia,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,87.376,True,-1,N/A,0.0,False,87.376,True,158.0,False,7622.597,,7622.597,0,False,True
C,A,20120101,2012,52,2012,554,NZL,New Zealand,M,Import,40,AUT,Austria,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,0.975,True,-1,N/A,0.0,False,0.975,True,2.0,False,96.407,,96.407,0,False,True
C,A,20120101,2012,52,2012,554,NZL,New Zealand,M,Import,56,BEL,Belgium,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,3.09,True,-1,N/A,0.0,False,3.09,True,,False,133.673,,133.673,0,False,True
C,A,20120101,2012,52,2012,554,NZL,New Zealand,M,Import,156,CHN,China,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,37.279,True,-1,N/A,0.0,False,37.279,True,,False,3464.154,,3464.154,0,False,True
C,A,20120101,2012,52,2012,554,NZL,New Zealand,M,Import,276,DEU,Germany,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,36.386,True,-1,N/A,0.0,False,36.386,True,26.0,False,1817.952,,1817.952,0,False,True
C,A,20120101,2012,52,2012,554,NZL,New Zealand,M,Import,392,JPN,Japan,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,3.335,True,-1,N/A,0.0,False,3.335,True,2.0,False,329.727,,329.727,0,False,True
C,A,20120101,2012,52,2012,554,NZL,New Zealand,M,Import,410,KOR,Rep. of Korea,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,114.572,True,-1,N/A,0.0,False,114.572,True,228.0,False,11328.983,,11328.983,0,False,True
C,A,20120101,2012,52,2012,554,NZL,New Zealand,M,Import,643,RUS,Russian Federation,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,1.049,True,-1,N/A,0.0,False,1.049,True,2.0,False,103.698,,103.698,0,False,True
C,A,20120101,2012,52,2012,554,NZL,New Zealand,M,Import,699,IND,India,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,2.798,True,-1,N/A,0.0,False,2.798,True,1.0,False,108.559,,108.559,0,False,True
C,A,20120101,2012,52,2012,554,NZL,New Zealand,M,Import,702,SGP,Singapore,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,2.735,True,-1,N/A,0.0,False,2.735,True,1.0,False,106.128,,106.128,0,False,True
C,A,20120101,2012,52,2012,554,NZL,New Zealand,M,Import,757,CHE,Switzerland,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,7.813,True,-1,N/A,0.0,False,7.813,True,,False,691.048,,691.048,0,False,True
C,A,20120101,2012,52,2012,554,NZL,New Zealand,M,Import,826,GBR,United Kingdom,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,8.0,True,-1,N/A,0.0,False,8.0,True,8.0,False,506.337,,506.337,0,False,True
