typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20160101,2016,52,2016,804,UKR,Ukraine,M,Import,0,W00,World,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,17519.147,True,-1,N/A,0.0,False,17519.147,True,,False,158118.69,,158118.69,0,False,True
C,A,20160101,2016,52,2016,804,UKR,Ukraine,M,Import,40,AUT,Austria,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,0.5,False,8,kg,0.5,False,0.5,False,,False,395.3,,395.3,0,False,True
C,A,20160101,2016,52,2016,804,UKR,Ukraine,M,Import,156,CHN,China,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,17010.792,False,8,kg,17010.792,False,17010.792,False,,False,82633.73,,82633.73,0,False,True
C,A,20160101,2016,52,2016,804,UKR,Ukraine,M,Import,251,FRA,France,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,240.1,False,8,kg,240.1,False,240.1,False,,False,62312.9,,62312.9,0,False,True
C,A,20160101,2016,52,2016,804,UKR,Ukraine,M,Import,276,DEU,Germany,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,22.2,True,-1,N/A,0.0,False,22.2,True,,False,3147.33,,3147.33,0,False,True
C,A,20160101,2016,52,2016,804,UKR,Ukraine,M,Import,380,ITA,Italy,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,60.0,False,8,kg,60.0,False,60.0,False,,False,1374.99,,1374.99,0,False,True
C,A,20160101,2016,52,2016,804,UKR,Ukraine,M,Import,490,S19,"Other Asia, nes",0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,0.05,False,8,kg,0.05,False,0.05,False,,False,106.28,,106.28,0,False,True
C,A,20160101,2016,52,2016,804,UKR,Ukraine,M,Import,699,IND,India,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,10.0,False,8,kg,10.0,False,10.0,False,,False,580.0,,580.0,0,False,True
C,A,20160101,2016,52,2016,804,UKR,Ukraine,M,Import,724,ESP,Spain,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,0.2,False,8,kg,0.2,False,0.2,False,,False,85.95,,85.95,0,False,True
C,A,20160101,2016,52,2016,804,UKR,Ukraine,M,Import,757,CHE,Switzerland,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,5.15,False,8,kg,5.15,False,5.15,False,,False,390.81,,390.81,0,False,True
C,A,20160101,2016,52,2016,804,UKR,Ukraine,M,Import,826,GBR,United Kingdom,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,122.5,False,8,kg,122.5,False,122.5,False,,False,889.82,,889.82,0,False,True
C,A,20160101,2016,52,2016,804,UKR,Ukraine,M,Import,842,USA,USA,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,47.655,False,8,kg,47.655,False,47.655,False,,False,6201.58,,6201.58,0,False,True
