typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20170101,2017,52,2017,32,ARG,Argentina,M,Import,0,W00,World,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,8789.77,False,8,kg,8789.77,False,8789.77,False,,False,270435.78,260868.19,270435.78,0,False,True
C,A,20170101,2017,52,2017,32,ARG,Argentina,M,Import,40,AUT,Austria,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,13.82,False,8,kg,13.82,False,13.82,False,,False,7152.05,7092.44,7152.05,0,False,True
C,A,20170101,2017,52,2017,32,ARG,Argentina,M,Import,56,BEL,Belgium,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,1.3,False,8,kg,1.3,False,1.3,False,,False,653.43,502.61,653.43,0,False,True
C,A,20170101,2017,52,2017,32,ARG,Argentina,M,Import,124,CAN,Canada,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,0.05,False,8,kg,0.05,False,0.05,False,,False,67.87,57.27,67.87,0,False,True
C,A,20170101,2017,52,2017,32,ARG,Argentina,M,Import,156,CHN,China,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,897.47,False,8,kg,897.47,False,897.47,False,,False,73786.3,68751.04,73786.3,0,False,True
C,A,20170101,2017,52,2017,32,ARG,Argentina,M,Import,251,FRA,France,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,5540.9,False,8,kg,5540.9,False,5540.9,False,,False,105336.97,102251.53,105336.97,0,False,True
C,A,20170101,2017,52,2017,32,ARG,Argentina,M,Import,276,DEU,Germany,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,6.55,False,8,kg,6.55,False,6.55,False,,False,6702.35,6621.53,6702.35,0,False,True
C,A,20170101,2017,52,2017,32,ARG,Argentina,M,Import,392,JPN,Japan,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,2000.0,False,8,kg,2000.0,False,2000.0,False,,False,64292.48,63760.0,64292.48,0,False,True
C,A,20170101,2017,52,2017,32,ARG,Argentina,M,Import,490,S19,"Other Asia, nes",0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,0.1,False,8,kg,0.1,False,0.1,False,,False,56.78,51.85,56.78,0,False,True
C,A,20170101,2017,52,2017,32,ARG,Argentina,M,Import,699,IND,India,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,26.01,False,8,kg,26.01,False,26.01,False,,False,720.02,556.79,720.02,0,False,True
C,A,20170101,2017,52,2017,32,ARG,Argentina,M,Import,724,ESP,Spain,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,1.7,False,8,kg,1.7,False,1.7,False,,False,1242.67,1169.86,1242.67,0,False,True
C,A,20170101,2017,52,2017,32,ARG,Argentina,M,Import,757,CHE,Switzerland,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,1.13,False,8,kg,1.13,False,1.13,False,,False,1494.6,1452.81,1494.6,0,False,True
C,A,20170101,2017,52,2017,32,ARG,Argentina,M,Import,842,USA,USA,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,300.74,False,8,kg,300.74,False,300.74,False,,False,8930.26,8600.46,8930.26,0,False,True
