typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20160101,2016,52,2016,643,RUS,Russian Federation,M,Import,0,W00,World,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,873241.836,True,-1,N/A,0.0,False,873241.836,True,,False,20323069.57,,20323069.57,0,False,True
C,A,20160101,2016,52,2016,643,RUS,Russian Federation,M,Import,40,AUT,Austria,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,3046.21,False,8,kg,3046.21,False,3046.21,False,,False,80597.03,,80597.03,0,False,True
C,A,20160101,2016,52,2016,643,RUS,Russian Federation,M,Import,112,BLR,Belarus,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,99.111,True,-1,N/A,0.0,False,99.111,True,,False,1771.0,,1771.0,0,False,True
C,A,20160101,2016,52,2016,643,RUS,Russian Federation,M,Import,156,CHN,China,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,660551.63,False,8,kg,660551.63,False,660551.63,False,,False,5598873.85,,5598873.85,0,False,True
C,A,20160101,2016,52,2016,643,RUS,Russian Federation,M,Import,233,EST,Estonia,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,71350.0,False,8,kg,71350.0,False,71350.0,False,,False,147027.81,,147027.81,0,False,True
C,A,20160101,2016,52,2016,643,RUS,Russian Federation,M,Import,251,FRA,France,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,2180.53,False,8,kg,2180.53,False,2180.53,False,,False,96208.24,,96208.24,0,False,True
C,A,20160101,2016,52,2016,643,RUS,Russian Federation,M,Import,276,DEU,Germany,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,788.645,False,8,kg,788.645,False,788.645,False,,False,54272.25,,54272.25,0,False,True
C,A,20160101,2016,52,2016,643,RUS,Russian Federation,M,Import,344,HKG,"China, Hong Kong SAR",0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,5200.0,False,8,kg,5200.0,False,5200.0,False,,False,54500.0,,54500.0,0,False,True
C,A,20160101,2016,52,2016,643,RUS,Russian Federation,M,Import,398,KAZ,Kazakhstan,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,81891.0,False,8,kg,81891.0,False,81891.0,False,,False,152105.0,,152105.0,0,False,True
C,A,20160101,2016,52,2016,643,RUS,Russian Federation,M,Import,410,KOR,Rep. of Korea,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,45.0,False,8,kg,45.0,False,45.0,False,,False,58800.0,,58800.0,0,False,True
C,A,20160101,2016,52,2016,643,RUS,Russian Federation,M,Import,490,S19,"Other Asia, nes",0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,0.09,False,8,kg,0.09,False,0.09,False,,False,51.43,,51.43,0,False,True
