typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20120101,2012,52,2012,699,IND,India,M,Import,0,W00,World,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,337423.0,True,-1,N/A,,False,337423.0,True,,False,17468352.0,,17468352.0,6,True,False
C,A,20120101,2012,52,2012,699,IND,India,M,Import,40,AUT,Austria,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1204.0,False,-1,N/A,,False,1204.0,False,,False,200727.0,,200727.0,0,True,False
C,A,20120101,2012,52,2012,699,IND,India,M,Import,56,BEL,Belgium,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,199.0,False,-1,N/A,,False,199.0,False,,False,12434.0,,12434.0,0,True,False
C,A,20120101,2012,52,2012,699,IND,India,M,Import,76,BRA,Brazil,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1.0,False,-1,N/A,,False,1.0,False,,False,89.0,,89.0,0,True,False
C,A,20120101,2012,52,2012,699,IND,India,M,Import,100,BGR,Bulgaria,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4.0,False,-1,N/A,,False,4.0,False,,False,478.0,,478.0,0,True,False
C,A,20120101,2012,52,2012,699,IND,India,M,Import,156,CHN,China,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,96470.0,False,-1,N/A,,False,96470.0,False,,False,3614173.0,,3614173.0,0,True,False
C,A,20120101,2012,52,2012,699,IND,India,M,Import,246,FIN,Finland,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,130.0,False,-1,N/A,,False,130.0,False,,False,6539.0,,6539.0,0,True,False
C,A,20120101,2012,52,2012,699,IND,India,M,Import,251,FRA,France,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,95934.0,False,-1,N/A,,False,95934.0,False,,False,5169236.0,,5169236.0,0,True,False
C,A,20120101,2012,52,2012,699,IND,India,M,Import,276,DEU,Germany,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3473.0,False,-1,N/A,,False,3473.0,False,,False,363062.0,,363062.0,0,True,False
C,A,20120101,2012,52,2012,699,IND,India,M,Import,344,HKG,"China, Hong Kong SAR",0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,9547.0,False,-1,N/A,,False,9547.0,False,,False,175093.0,,175093.0,0,True,False
C,A,20120101,2012,52,2012,699,IND,India,M,Import,376,ISR,Israel,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,102.0,False,-1,N/A,,False,102.0,False,,False,2190.0,,2190.0,0,True,False
C,A,20120101,2012,52,2012,699,IND,India,M,Import,380,ITA,Italy,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,308.0,False,-1,N/A,,False,308.0,False,,False,16526.0,,16526.0,0,True,False
C,A,20120101,2012,52,2012,699,IND,India,M,Import,392,JPN,Japan,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,49366.0,False,-1,N/A,,False,49366.0,False,,False,1858709.0,,1858709.0,0,True,False
C,A,20120101,2012,52,2012,699,IND,India,M,Import,410,KOR,Rep. of Korea,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4278.0,False,-1,N/A,,False,4278.0,False,,False,498732.0,,498732.0,0,True,False
C,A,20120101,2012,52,2012,699,IND,India,M,Import,484,MEX,Mexico,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,41.0,True,-1,N/A,,False,41.0,True,,False,6222.0,,6222.0,6,True,False
C,A,20120101,2012,52,2012,699,IND,India,M,Import,490,S19,"Other Asia, nes",0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3212.0,False,-1,N/A,,False,3212.0,False,,False,177479.0,,177479.0,0,True,False
C,A,20120101,2012,52,2012,699,IND,India,M,Import,682,SAU,Saudi Arabia,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3.0,False,-1,N/A,,False,3.0,False,,False,58.0,,58.0,0,True,False
C,A,20120101,2012,52,2012,699,IND,India,M,Import,702,SGP,Singapore,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1292.0,False,-1,N/A,,False,1292.0,False,,False,26280.0,,26280.0,0,True,False
C,A,20120101,2012,52,2012,699,IND,India,M,Import,704,VNM,Viet Nam,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2841.0,False,-1,N/A,,False,2841.0,False,,False,199393.0,,199393.0,0,True,False
C,A,20120101,2012,52,2012,699,IND,India,M,Import,752,SWE,Sweden,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,41.0,False,-1,N/A,,False,41.0,False,,False,413.0,,413.0,0,True,False
C,A,20120101,2012,52,2012,699,IND,India,M,Import,757,CHE,Switzerland,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,9.0,False,-1,N/A,,False,9.0,False,,False,3626.0,,3626.0,0,True,False
C,A,20120101,2012,52,2012,699,IND,India,M,Import,764,THA,Thailand,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,60.0,False,-1,N/A,,False,60.0,False,,False,5685.0,,5685.0,0,True,False
C,A,20120101,2012,52,2012,699,IND,India,M,Import,792,TUR,Türkiye,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1000.0,False,-1,N/A,,False,1000.0,False,,False,28601.0,,28601.0,0,True,False
C,A,20120101,2012,52,2012,699,IND,India,M,Import,826,GBR,United Kingdom,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,10740.0,True,-1,N/A,,False,10740.0,True,,False,607066.0,,607066.0,6,True,False
C,A,20120101,2012,52,2012,699,IND,India,M,Import,842,USA,USA,0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,57163.0,True,-1,N/A,,False,57163.0,True,,False,4495496.0,,4495496.0,6,True,False
C,A,20120101,2012,52,2012,699,IND,India,M,Import,899,_X ,"Areas, nes",0,W00,World,H3,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5.0,False,-1,N/A,,False,5.0,False,,False,43.0,,43.0,0,True,False
