typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20170101,2017,52,2017,203,CZE,Czechia,M,Import,0,W00,World,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,266384.949,True,-1,N/A,0.0,False,266384.949,True,,False,7257581.0,6844696.0,7257581.0,0,False,True
C,A,20170101,2017,52,2017,203,CZE,Czechia,M,Import,40,AUT,Austria,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,24961.298,True,-1,N/A,0.0,False,24961.298,True,,False,893904.0,893904.0,893904.0,0,False,True
C,A,20170101,2017,52,2017,203,CZE,Czechia,M,Import,56,BEL,Belgium,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,19.0,False,8,kg,19.0,False,19.0,False,,False,928.0,906.0,928.0,0,False,True
C,A,20170101,2017,52,2017,203,CZE,Czechia,M,Import,156,CHN,China,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,70726.858,True,-1,N/A,0.0,False,70726.858,True,,False,672369.0,630976.0,672369.0,0,False,True
C,A,20170101,2017,52,2017,203,CZE,Czechia,M,Import,251,FRA,France,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,560.455,True,-1,N/A,0.0,False,560.455,True,,False,9341.0,8797.0,9341.0,0,False,True
C,A,20170101,2017,52,2017,203,CZE,Czechia,M,Import,276,DEU,Germany,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,4595.0,False,8,kg,4595.0,False,4595.0,False,,False,169904.0,169904.0,169904.0,0,False,True
C,A,20170101,2017,52,2017,203,CZE,Czechia,M,Import,380,ITA,Italy,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,340.0,False,8,kg,340.0,False,340.0,False,,False,6540.0,6201.0,6540.0,0,False,True
C,A,20170101,2017,52,2017,203,CZE,Czechia,M,Import,392,JPN,Japan,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,160401.0,False,8,kg,160401.0,False,160401.0,False,,False,5344031.0,4982155.0,5344031.0,0,False,True
C,A,20170101,2017,52,2017,203,CZE,Czechia,M,Import,490,S19,"Other Asia, nes",0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,5.0,False,8,kg,5.0,False,5.0,False,,False,671.0,625.0,671.0,0,False,True
C,A,20170101,2017,52,2017,203,CZE,Czechia,M,Import,579,NOR,Norway,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,110.0,False,8,kg,110.0,False,110.0,False,,False,6549.0,6319.0,6549.0,0,False,True
C,A,20170101,2017,52,2017,203,CZE,Czechia,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,13.388,True,-1,N/A,0.0,False,13.388,True,,False,19986.0,18567.0,19986.0,0,False,True
