typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20010101,2001,52,2001,764,THA,Thailand,M,Import,0,W00,World,0,W00,World,H1,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,324107.0,True,-1,N/A,,False,324107.0,True,,False,2625925.0,,2625925.0,6,False,False
C,A,20010101,2001,52,2001,764,THA,Thailand,M,Import,36,AUS,Australia,0,W00,World,H1,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,119.0,True,-1,N/A,,False,119.0,True,,False,6515.0,,6515.0,6,False,False
C,A,20010101,2001,52,2001,764,THA,Thailand,M,Import,56,BEL,Belgium,0,W00,World,H1,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,9.0,True,-1,N/A,,False,9.0,True,,False,45.0,,45.0,6,False,False
C,A,20010101,2001,52,2001,764,THA,Thailand,M,Import,156,CHN,China,0,W00,World,H1,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,211333.0,True,-1,N/A,,False,211333.0,True,,False,886801.0,,886801.0,6,False,False
C,A,20010101,2001,52,2001,764,THA,Thailand,M,Import,251,FRA,France,0,W00,World,H1,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,17740.0,True,-1,N/A,,False,17740.0,True,,False,212253.0,,212253.0,6,False,False
C,A,20010101,2001,52,2001,764,THA,Thailand,M,Import,276,DEU,Germany,0,W00,World,H1,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,6507.0,True,-1,N/A,,False,6507.0,True,,False,87595.0,,87595.0,6,False,False
C,A,20010101,2001,52,2001,764,THA,Thailand,M,Import,380,ITA,Italy,0,W00,World,H1,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,9.0,True,-1,N/A,,False,9.0,True,,False,2095.0,,2095.0,6,False,False
C,A,20010101,2001,52,2001,764,THA,Thailand,M,Import,392,JPN,Japan,0,W00,World,H1,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,74398.0,True,-1,N/A,,False,74398.0,True,,False,1355854.0,,1355854.0,6,False,False
C,A,20010101,2001,52,2001,764,THA,Thailand,M,Import,490,S19,"Other Asia, nes",0,W00,World,H1,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,500.0,False,-1,N/A,,False,500.0,False,,False,3129.0,,3129.0,0,False,False
C,A,20010101,2001,52,2001,764,THA,Thailand,M,Import,724,ESP,Spain,0,W00,World,H1,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3.0,True,-1,N/A,,False,3.0,True,,False,227.0,,227.0,6,False,False
C,A,20010101,2001,52,2001,764,THA,Thailand,M,Import,757,CHE,Switzerland,0,W00,World,H1,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,200.0,True,-1,N/A,,False,200.0,True,,False,2518.0,,2518.0,6,False,False
C,A,20010101,2001,52,2001,764,THA,Thailand,M,Import,826,GBR,United Kingdom,0,W00,World,H1,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,11368.0,True,-1,N/A,,False,11368.0,True,,False,56694.0,,56694.0,6,False,False
C,A,20010101,2001,52,2001,764,THA,Thailand,M,Import,842,USA,USA,0,W00,World,H1,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1921.0,True,-1,N/A,,False,1921.0,True,,False,12199.0,,12199.0,6,False,False
