typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20080101,2008,52,2008,616,POL,Poland,M,Import,0,W00,World,0,W00,World,H3,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,14315570.0,False,8,kg,14315570.0,False,14315570.0,False,0.0,False,4023598.0,0.0,4023598.0,0,False,True
C,A,20080101,2008,52,2008,616,POL,Poland,M,Import,156,CHN,China,0,W00,World,H3,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1353877.0,False,8,kg,1353877.0,False,1353877.0,False,0.0,False,359912.0,0.0,359912.0,0,False,True
C,A,20080101,2008,52,2008,616,POL,Poland,M,Import,203,CZE,Czechia,0,W00,World,H3,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,35833.0,False,8,kg,35833.0,False,35833.0,False,0.0,False,22428.0,0.0,22428.0,0,False,True
C,A,20080101,2008,52,2008,616,POL,Poland,M,Import,251,FRA,France,0,W00,World,H3,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,57570.0,False,8,kg,57570.0,False,57570.0,False,0.0,False,30526.0,0.0,30526.0,0,False,True
C,A,20080101,2008,52,2008,616,POL,Poland,M,Import,276,DEU,Germany,0,W00,World,H3,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,421297.0,False,8,kg,421297.0,False,421297.0,False,0.0,False,190146.0,0.0,190146.0,0,False,True
C,A,20080101,2008,52,2008,616,POL,Poland,M,Import,380,ITA,Italy,0,W00,World,H3,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3293869.0,False,8,kg,3293869.0,False,3293869.0,False,0.0,False,579562.0,0.0,579562.0,0,False,True
C,A,20080101,2008,52,2008,616,POL,Poland,M,Import,440,LTU,Lithuania,0,W00,World,H3,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,13547.0,False,8,kg,13547.0,False,13547.0,False,0.0,False,10878.0,0.0,10878.0,0,False,True
C,A,20080101,2008,52,2008,616,POL,Poland,M,Import,528,NLD,Netherlands,0,W00,World,H3,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2664951.0,False,8,kg,2664951.0,False,2664951.0,False,0.0,False,929143.0,0.0,929143.0,0,False,True
C,A,20080101,2008,52,2008,616,POL,Poland,M,Import,703,SVK,Slovakia,0,W00,World,H3,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5920957.0,False,8,kg,5920957.0,False,5920957.0,False,0.0,False,1616165.0,0.0,1616165.0,0,False,True
C,A,20080101,2008,52,2008,616,POL,Poland,M,Import,724,ESP,Spain,0,W00,World,H3,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,380580.0,False,8,kg,380580.0,False,380580.0,False,0.0,False,191634.0,0.0,191634.0,0,False,True
C,A,20080101,2008,52,2008,616,POL,Poland,M,Import,826,GBR,United Kingdom,0,W00,World,H3,HS,True,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,173089.0,False,8,kg,173089.0,False,173089.0,False,0.0,False,93204.0,0.0,93204.0,0,False,True
