typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20160101,2016,52,2016,764,THA,Thailand,M,Import,0,W00,World,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,587152.27,True,-1,N/A,0.0,False,587152.27,True,,False,20126850.02,,20126850.02,0,False,True
C,A,20160101,2016,52,2016,764,THA,Thailand,M,Import,40,AUT,Austria,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,79.731,True,-1,N/A,0.0,False,79.731,True,,False,3112.24,,3112.24,0,False,True
C,A,20160101,2016,52,2016,764,THA,Thailand,M,Import,56,BEL,Belgium,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,70.273,True,-1,N/A,0.0,False,70.273,True,,False,1791.49,,1791.49,0,False,True
C,A,20160101,2016,52,2016,764,THA,Thailand,M,Import,156,CHN,China,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,66867.147,True,-1,N/A,0.0,False,66867.147,True,,False,2011602.81,,2011602.81,0,False,True
C,A,20160101,2016,52,2016,764,THA,Thailand,M,Import,233,EST,Estonia,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,40000.0,False,8,kg,40000.0,False,40000.0,False,,False,1570399.95,,1570399.95,0,False,True
C,A,20160101,2016,52,2016,764,THA,Thailand,M,Import,251,FRA,France,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,3.786,True,-1,N/A,0.0,False,3.786,True,,False,75.98,,75.98,0,False,True
C,A,20160101,2016,52,2016,764,THA,Thailand,M,Import,276,DEU,Germany,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,228.922,True,-1,N/A,0.0,False,228.922,True,,False,51263.45,,51263.45,0,False,True
C,A,20160101,2016,52,2016,764,THA,Thailand,M,Import,392,JPN,Japan,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,478135.019,True,-1,N/A,0.0,False,478135.019,True,,False,16434675.4,,16434675.4,0,False,True
C,A,20160101,2016,52,2016,764,THA,Thailand,M,Import,410,KOR,Rep. of Korea,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,28.356,True,-1,N/A,0.0,False,28.356,True,,False,978.6,,978.6,0,False,True
C,A,20160101,2016,52,2016,764,THA,Thailand,M,Import,458,MYS,Malaysia,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,20.0,False,8,kg,20.0,False,20.0,False,,False,514.31,,514.31,0,False,True
C,A,20160101,2016,52,2016,764,THA,Thailand,M,Import,528,NLD,Netherlands,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,7.131,True,-1,N/A,0.0,False,7.131,True,,False,143.12,,143.12,0,False,True
C,A,20160101,2016,52,2016,764,THA,Thailand,M,Import,699,IND,India,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,28.442,True,-1,N/A,0.0,False,28.442,True,,False,2827.35,,2827.35,0,False,True
C,A,20160101,2016,52,2016,764,THA,Thailand,M,Import,702,SGP,Singapore,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,7.141,True,-1,N/A,0.0,False,7.141,True,,False,246.44,,246.44,0,False,True
C,A,20160101,2016,52,2016,764,THA,Thailand,M,Import,724,ESP,Spain,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,1396.655,True,-1,N/A,0.0,False,1396.655,True,,False,35650.0,,35650.0,0,False,True
C,A,20160101,2016,52,2016,764,THA,Thailand,M,Import,752,SWE,Sweden,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,2.425,True,-1,N/A,0.0,False,2.425,True,,False,83.7,,83.7,0,False,True
C,A,20160101,2016,52,2016,764,THA,Thailand,M,Import,757,CHE,Switzerland,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,60.707,True,-1,N/A,0.0,False,60.707,True,,False,1960.64,,1960.64,0,False,True
C,A,20160101,2016,52,2016,764,THA,Thailand,M,Import,826,GBR,United Kingdom,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,105.317,True,-1,N/A,0.0,False,105.317,True,,False,6619.59,,6619.59,0,False,True
C,A,20160101,2016,52,2016,764,THA,Thailand,M,Import,842,USA,USA,0,W00,World,H4,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,111.218,True,-1,N/A,0.0,False,111.218,True,,False,4904.95,,4904.95,0,False,True
