typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20180101,2018,52,2018,620,PRT,Portugal,M,Import,0,W00,World,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,6220.582,True,-1,N/A,0.0,False,6220.582,True,,False,382448.987,,382448.987,0,False,True
C,A,20180101,2018,52,2018,620,PRT,Portugal,M,Import,40,AUT,Austria,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,1942.266,True,-1,N/A,0.0,False,1942.266,True,,False,172555.114,,172555.114,0,False,True
C,A,20180101,2018,52,2018,620,PRT,Portugal,M,Import,56,BEL,Belgium,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,27.657,True,-1,N/A,0.0,False,27.657,True,,False,2695.049,,2695.049,0,False,True
C,A,20180101,2018,52,2018,620,PRT,Portugal,M,Import,156,CHN,China,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,407.0,False,8,kg,407.0,False,407.0,False,,False,41717.179,,41717.179,0,False,True
C,A,20180101,2018,52,2018,620,PRT,Portugal,M,Import,251,FRA,France,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,385.389,True,-1,N/A,0.0,False,385.389,True,,False,27860.639,,27860.639,0,False,True
C,A,20180101,2018,52,2018,620,PRT,Portugal,M,Import,276,DEU,Germany,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,275.568,True,-1,N/A,0.0,False,275.568,True,,False,44524.373,,44524.373,0,False,True
C,A,20180101,2018,52,2018,620,PRT,Portugal,M,Import,392,JPN,Japan,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,10.0,False,8,kg,10.0,False,10.0,False,,False,1348.114,,1348.114,0,False,True
C,A,20180101,2018,52,2018,620,PRT,Portugal,M,Import,528,NLD,Netherlands,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,1012.0,False,8,kg,1012.0,False,1012.0,False,,False,15110.215,,15110.215,0,False,True
C,A,20180101,2018,52,2018,620,PRT,Portugal,M,Import,579,NOR,Norway,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,2.0,False,8,kg,2.0,False,2.0,False,,False,2441.244,,2441.244,0,False,True
C,A,20180101,2018,52,2018,620,PRT,Portugal,M,Import,699,IND,India,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,2.0,False,8,kg,2.0,False,2.0,False,,False,220.751,,220.751,0,False,True
C,A,20180101,2018,52,2018,620,PRT,Portugal,M,Import,724,ESP,Spain,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,2152.702,True,-1,N/A,0.0,False,2152.702,True,,False,66513.278,,66513.278,0,False,True
C,A,20180101,2018,52,2018,620,PRT,Portugal,M,Import,826,GBR,United Kingdom,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,4.0,False,8,kg,4.0,False,4.0,False,,False,7463.03,,7463.03,0,False,True
