typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20170101,2017,52,2017,156,CHN,China,M,Import,0,W00,World,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,34339627.609,True,-1,N/A,0.0,False,34339627.609,True,,False,174384399.0,,174384399.0,0,False,True
C,A,20170101,2017,52,2017,156,CHN,China,M,Import,36,AUS,Australia,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,1.0,False,8,kg,1.0,False,1.0,False,,False,368.0,,368.0,0,False,True
C,A,20170101,2017,52,2017,156,CHN,China,M,Import,40,AUT,Austria,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,3820.524,True,-1,N/A,0.0,False,3820.524,True,,False,123835.0,,123835.0,0,False,True
C,A,20170101,2017,52,2017,156,CHN,China,M,Import,56,BEL,Belgium,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,24876.0,False,8,kg,24876.0,False,24876.0,False,,False,266260.0,,266260.0,0,False,True
C,A,20170101,2017,52,2017,156,CHN,China,M,Import,104,MMR,Myanmar,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,19957717.0,False,8,kg,19957717.0,False,19957717.0,False,,False,12395797.0,,12395797.0,0,False,True
C,A,20170101,2017,52,2017,156,CHN,China,M,Import,124,CAN,Canada,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,11.367,True,-1,N/A,0.0,False,11.367,True,,False,66.0,,66.0,0,False,True
C,A,20170101,2017,52,2017,156,CHN,China,M,Import,156,CHN,China,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,40037.313,True,-1,N/A,0.0,False,40037.313,True,,False,637001.0,,637001.0,0,False,True
C,A,20170101,2017,52,2017,156,CHN,China,M,Import,203,CZE,Czechia,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,6.545,True,-1,N/A,0.0,False,6.545,True,,False,38.0,,38.0,0,False,True
C,A,20170101,2017,52,2017,156,CHN,China,M,Import,233,EST,Estonia,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,130000.0,False,8,kg,130000.0,False,130000.0,False,,False,2253220.0,,2253220.0,0,False,True
C,A,20170101,2017,52,2017,156,CHN,China,M,Import,251,FRA,France,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,350889.0,False,8,kg,350889.0,False,350889.0,False,,False,3956647.0,,3956647.0,0,False,True
C,A,20170101,2017,52,2017,156,CHN,China,M,Import,276,DEU,Germany,0,W00,World,H5,HS,True,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,False,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,4076.048,True,-1,N/A,0.0,False,4076.048,True,,False,1107194.0,,1107194.0,0,False,True
