,Product,Country,Year,cmdCode,Geopolitical Risk Production,Geopolitical Risk Exports,Geopolitical Risk Production NO-ROOT,Geopolitical Risk Exports NO-ROOT
0,LITHIUM,CANADA,2019.0,283691.0,5.505814389586641e-09,3.977066921080027e-09,16.95475834965027,12.247090769139046
0,PETROLEUM,MEXICO,2019.0,2709.0,0.0,0.0,0.0,0.0
0,GOLD,USA,2020.0,7108.0,1.346474149791271e-13,1.5906566111373124e-13,0.00019335498563695516,0.00022841982242842215
